Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,37.75,37.75,36.869998931884766,37.0099983215332,33.075172424316406,8300,2020-01-02
2020-01-03,36.869998931884766,36.869998931884766,36.4900016784668,36.560001373291016,32.67302322387695,6200,2020-01-03
2020-01-06,36.529998779296875,36.95000076293945,36.5099983215332,36.52000045776367,32.63727569580078,6900,2020-01-06
2020-01-07,36.77000045776367,36.77000045776367,35.900001525878906,36.400001525878906,32.530033111572266,8000,2020-01-07
2020-01-08,36.29999923706055,36.630001068115234,36.29999923706055,36.34000015258789,32.476417541503906,5800,2020-01-08
2020-01-09,36.529998779296875,36.70000076293945,36.40999984741211,36.459999084472656,32.583648681640625,3800,2020-01-09
2020-01-10,36.619998931884766,36.72999954223633,35.54999923706055,36.34000015258789,32.476417541503906,14500,2020-01-10
2020-01-13,36.2400016784668,36.560001373291016,36.0,36.22999954223633,32.37810516357422,11000,2020-01-13
2020-01-14,36.400001525878906,36.400001525878906,35.810001373291016,35.810001373291016,32.00276184082031,6000,2020-01-14
2020-01-15,35.91999816894531,36.33000183105469,35.41999816894531,35.86000061035156,32.04743957519531,8000,2020-01-15
2020-01-16,36.060001373291016,36.119998931884766,35.709999084472656,35.709999084472656,31.913387298583984,4000,2020-01-16
2020-01-17,35.97999954223633,35.97999954223633,35.11000061035156,35.11000061035156,31.377182006835938,10200,2020-01-17
2020-01-21,35.220001220703125,35.220001220703125,34.7400016784668,34.86000061035156,31.153759002685547,8400,2020-01-21
2020-01-22,34.849998474121094,35.34000015258789,34.7599983215332,34.7599983215332,31.064388275146484,8900,2020-01-22
2020-01-23,34.790000915527344,35.099998474121094,33.790000915527344,34.189998626708984,30.55499267578125,18400,2020-01-23
2020-01-24,34.13999938964844,34.33000183105469,33.779998779296875,33.86000061035156,30.260080337524414,6600,2020-01-24
2020-01-27,33.72999954223633,33.81999969482422,33.16999816894531,33.25,29.714933395385742,8600,2020-01-27
2020-01-28,33.4900016784668,33.4900016784668,32.709999084472656,33.09000015258789,29.571943283081055,25600,2020-01-28
2020-01-29,33.47999954223633,33.79999923706055,31.829999923706055,32.09000015258789,28.67826271057129,33000,2020-01-29
2020-01-30,32.099998474121094,33.7400016784668,32.099998474121094,33.209999084472656,29.679187774658203,18900,2020-01-30
2020-01-31,33.400001525878906,33.849998474121094,32.0,32.04999923706055,28.642515182495117,20200,2020-01-31
2020-02-03,32.41999816894531,33.650001525878906,32.41999816894531,33.06999969482422,29.554073333740234,29200,2020-02-03
2020-02-04,33.400001525878906,33.470001220703125,32.5099983215332,33.470001220703125,29.911542892456055,30700,2020-02-04
2020-02-05,33.47999954223633,36.709999084472656,33.40999984741211,36.470001220703125,32.592594146728516,53400,2020-02-05
2020-02-06,36.310001373291016,37.06999969482422,35.81999969482422,36.88999938964844,32.96793746948242,34400,2020-02-06
2020-02-07,36.599998474121094,37.47999954223633,35.11000061035156,36.54999923706055,32.664085388183594,89000,2020-02-07
