Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,15.869999885559082,15.90999984741211,15.75,15.84000015258789,13.721986770629883,465500,2020-01-02
2020-01-03,15.75,15.789999961853027,15.739999771118164,15.760000228881836,13.652684211730957,172800,2020-01-03
2020-01-06,15.460000038146973,15.739999771118164,15.420000076293945,15.729999542236328,13.626693725585938,957300,2020-01-06
2020-01-07,15.65999984741211,15.75,15.65999984741211,15.75,13.644020080566406,377400,2020-01-07
2020-01-08,15.729999542236328,15.880000114440918,15.729999542236328,15.84000015258789,13.721986770629883,365900,2020-01-08
2020-01-09,15.899999618530273,15.989999771118164,15.899999618530273,15.9399995803833,13.808612823486328,258100,2020-01-09
2020-01-10,15.949999809265137,16.0,15.930000305175781,15.949999809265137,13.817276000976562,220500,2020-01-10
2020-01-13,15.920000076293945,16.0,15.90999984741211,15.989999771118164,13.8519287109375,279000,2020-01-13
2020-01-14,16.0,16.049999237060547,15.960000038146973,16.020000457763672,13.87791919708252,292100,2020-01-14
2020-01-15,16.010000228881836,16.079999923706055,16.0,16.040000915527344,13.895242691040039,107700,2020-01-15
2020-01-16,16.100000381469727,16.139999389648438,16.06999969482422,16.139999389648438,13.981870651245117,166600,2020-01-16
2020-01-17,16.170000076293945,16.190000534057617,16.100000381469727,16.149999618530273,13.9905366897583,235900,2020-01-17
2020-01-21,16.139999389648438,16.219999313354492,16.1200008392334,16.15999984741211,13.999197959899902,161200,2020-01-21
2020-01-22,16.190000534057617,16.290000915527344,16.170000076293945,16.170000076293945,14.007862091064453,182300,2020-01-22
2020-01-23,16.18000030517578,16.299999237060547,16.149999618530273,16.299999237060547,14.120475769042969,352300,2020-01-23
2020-01-24,16.329999923706055,16.329999923706055,16.110000610351562,16.149999618530273,13.9905366897583,489000,2020-01-24
2020-01-27,16.0,16.010000228881836,15.819999694824219,15.890000343322754,13.765300750732422,212400,2020-01-27
2020-01-28,15.930000305175781,16.040000915527344,15.899999618530273,16.010000228881836,13.869254112243652,104400,2020-01-28
2020-01-29,16.079999923706055,16.1200008392334,16.010000228881836,16.059999465942383,13.912569046020508,98400,2020-01-29
2020-01-30,16.0,16.06999969482422,15.9399995803833,16.06999969482422,13.921231269836426,117200,2020-01-30
2020-01-31,16.049999237060547,16.059999465942383,15.84000015258789,15.859999656677246,13.739311218261719,200900,2020-01-31
2020-02-03,15.880000114440918,16.020000457763672,15.880000114440918,15.960000038146973,13.825940132141113,164600,2020-02-03
2020-02-04,16.100000381469727,16.18000030517578,16.100000381469727,16.15999984741211,13.999197959899902,171100,2020-02-04
2020-02-05,16.290000915527344,16.350000381469727,16.239999771118164,16.350000381469727,14.16379451751709,165800,2020-02-05
2020-02-06,16.40999984741211,16.43000030517578,16.350000381469727,16.40999984741211,14.215768814086914,144000,2020-02-06
2020-02-07,16.389999389648438,16.389999389648438,16.329999923706055,16.34000015258789,14.155129432678223,191400,2020-02-07
2020-02-10,16.290000915527344,16.399999618530273,16.290000915527344,16.389999389648438,14.198441505432129,270400,2020-02-10
2020-02-11,16.489999771118164,16.520000457763672,16.440000534057617,16.469999313354492,14.267745971679688,243200,2020-02-11
2020-02-12,16.520000457763672,16.59000015258789,16.5,16.579999923706055,14.363039016723633,252600,2020-02-12
2020-02-13,16.479999542236328,16.600000381469727,16.43000030517578,16.549999237060547,14.380415916442871,309400,2020-02-13
2020-02-14,16.56999969482422,16.59000015258789,16.459999084472656,16.530000686645508,14.363040924072266,122500,2020-02-14
2020-02-18,16.5,16.56999969482422,16.479999542236328,16.530000686645508,14.363040924072266,126600,2020-02-18
2020-02-19,16.579999923706055,16.6299991607666,16.56999969482422,16.600000381469727,14.423864364624023,96400,2020-02-19
2020-02-20,16.600000381469727,16.649999618530273,16.479999542236328,16.540000915527344,14.37172794342041,219200,2020-02-20
2020-02-21,16.489999771118164,16.510000228881836,16.43000030517578,16.43000030517578,14.276148796081543,323800,2020-02-21
2020-02-24,16.079999923706055,16.09000015258789,15.899999618530273,16.040000915527344,13.937273979187012,827600,2020-02-24
2020-02-25,16.020000457763672,16.040000915527344,15.399999618530273,15.479999542236328,13.45068645477295,706800,2020-02-25
2020-02-26,15.420000076293945,15.680000305175781,15.359999656677246,15.4399995803833,13.415928840637207,525200,2020-02-26
