Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,69.98999786376953,69.98999786376953,68.58000183105469,69.83000183105469,66.76209259033203,7900,2020-01-02
2020-01-03,69.08000183105469,69.26000213623047,68.01000213623047,68.01000213623047,65.02205657958984,11500,2020-01-03
2020-01-06,67.86000061035156,69.0,66.38999938964844,68.51000213623047,65.5000991821289,11000,2020-01-06
2020-01-07,68.5199966430664,69.12999725341797,67.55999755859375,67.91999816894531,64.93601989746094,3400,2020-01-07
2020-01-08,68.36000061035156,68.36000061035156,67.68000030517578,67.94000244140625,64.95513916015625,3100,2020-01-08
2020-01-09,67.41999816894531,68.31999969482422,66.83999633789062,68.23999786376953,65.24195098876953,13700,2020-01-09
2020-01-10,68.26000213623047,68.4000015258789,67.76000213623047,68.23999786376953,65.24195098876953,5600,2020-01-10
2020-01-13,68.2699966430664,68.5,67.1500015258789,68.5,65.49053955078125,5500,2020-01-13
2020-01-14,68.56999969482422,68.94999694824219,66.13999938964844,66.13999938964844,63.234222412109375,19500,2020-01-14
2020-01-15,66.27999877929688,68.37000274658203,65.88999938964844,66.5,63.57841110229492,6900,2020-01-15
2020-01-16,66.8499984741211,67.55999755859375,65.87999725341797,66.80000305175781,63.86522674560547,9200,2020-01-16
2020-01-17,67.06999969482422,67.11000061035156,65.80000305175781,66.69999694824219,63.76959991455078,4700,2020-01-17
2020-01-21,66.68000030517578,66.87000274658203,65.16000366210938,65.16000366210938,62.29728317260742,9200,2020-01-21
2020-01-22,65.55000305175781,67.0,65.55000305175781,66.98999786376953,64.04685974121094,4300,2020-01-22
2020-01-23,66.80000305175781,67.0,65.77999877929688,66.3499984741211,63.43498992919922,8000,2020-01-23
2020-01-24,66.23999786376953,66.5,65.83000183105469,66.06999969482422,63.16728973388672,5600,2020-01-24
2020-01-27,65.0999984741211,66.0,63.88999938964844,64.01000213623047,61.19779586791992,9600,2020-01-27
2020-01-28,64.55000305175781,64.55000305175781,63.86000061035156,63.86000061035156,61.05438232421875,3200,2020-01-28
2020-01-29,63.97999954223633,65.05000305175781,63.29999923706055,64.66000366210938,61.81924057006836,11100,2020-01-29
2020-01-30,64.5,65.0,63.56999969482422,63.90999984741211,61.10218811035156,8500,2020-01-30
2020-01-31,63.810001373291016,63.810001373291016,62.29999923706055,62.7400016784668,59.98359680175781,17800,2020-01-31
2020-02-03,62.75,63.040000915527344,62.75,62.7599983215332,60.002708435058594,8500,2020-02-03
2020-02-04,63.5,63.79999923706055,63.5,63.65999984741211,60.86316680908203,8300,2020-02-04
2020-02-05,64.0199966430664,64.5,64.0,64.38999938964844,61.56110382080078,7900,2020-02-05
2020-02-06,64.47000122070312,65.0,62.130001068115234,64.5199966430664,61.68537902832031,9400,2020-02-06
2020-02-07,64.62000274658203,64.62000274658203,63.0099983215332,63.0099983215332,60.24172592163086,9100,2020-02-07
2020-02-10,63.349998474121094,64.23999786376953,63.349998474121094,63.75,60.94921875,7000,2020-02-10
2020-02-11,63.56999969482422,64.13999938964844,63.16999816894531,63.75,60.94921875,4800,2020-02-11
2020-02-12,64.06999969482422,64.06999969482422,63.20000076293945,63.689998626708984,60.8918571472168,3800,2020-02-12
2020-02-13,63.369998931884766,63.9900016784668,63.0,63.75,60.94921875,7900,2020-02-13
2020-02-14,63.70000076293945,63.810001373291016,62.2599983215332,63.33000183105469,60.547672271728516,2600,2020-02-14
2020-02-18,63.75,63.75,63.29999923706055,63.459999084472656,60.67195510864258,2600,2020-02-18
2020-02-19,63.4900016784668,63.4900016784668,62.0099983215332,63.0,60.23216247558594,4000,2020-02-19
2020-02-20,63.0,63.5,62.0099983215332,62.79999923706055,60.04095458984375,3700,2020-02-20
2020-02-21,62.97999954223633,64.26000213623047,62.599998474121094,63.15999984741211,60.385135650634766,5300,2020-02-21
2020-02-24,62.25,63.689998626708984,62.25,63.189998626708984,60.413822174072266,22000,2020-02-24
2020-02-25,62.70000076293945,63.310001373291016,62.40999984741211,63.13999938964844,60.36602020263672,10900,2020-02-25
2020-02-26,62.61000061035156,63.279998779296875,62.61000061035156,62.97999954223633,60.21303939819336,1900,2020-02-26
2020-02-27,62.209999084472656,63.0,61.34000015258789,61.380001068115234,58.6833381652832,15300,2020-02-27
2020-02-28,60.25,60.689998626708984,58.900001525878906,59.20000076293945,56.59911346435547,25100,2020-02-28
2020-03-02,59.4900016784668,63.5,59.4900016784668,63.5,60.71019744873047,23200,2020-03-02
2020-03-03,63.650001525878906,63.650001525878906,60.20000076293945,61.029998779296875,58.34871292114258,11800,2020-03-03
2020-03-04,62.0,62.9900016784668,61.7400016784668,62.9900016784668,60.22260665893555,8000,2020-03-04
2020-03-05,62.689998626708984,62.9900016784668,60.08000183105469,61.75,59.03708267211914,19300,2020-03-05
2020-03-06,60.25,60.70000076293945,58.90999984741211,59.349998474121094,56.742523193359375,24600,2020-03-06
2020-03-09,57.08000183105469,59.900001525878906,55.029998779296875,57.9900016784668,55.442283630371094,6300,2020-03-09
2020-03-10,58.97999954223633,59.540000915527344,56.900001525878906,57.20000076293945,54.68698501586914,14100,2020-03-10
2020-03-11,56.619998931884766,56.630001068115234,51.650001525878906,53.400001525878906,51.05393600463867,8100,2020-03-11
2020-03-12,51.939998626708984,53.939998626708984,49.45000076293945,52.79999923706055,50.48028564453125,14500,2020-03-12
2020-03-13,52.43000030517578,57.20000076293945,52.43000030517578,56.0,53.539703369140625,13600,2020-03-13
2020-03-16,54.779998779296875,54.779998779296875,43.900001525878906,45.369998931884766,43.37671661376953,21600,2020-03-16
2020-03-17,44.70000076293945,51.0,43.630001068115234,51.0,48.75938415527344,23100,2020-03-17
2020-03-18,49.2599983215332,49.790000915527344,44.810001373291016,48.27000045776367,46.149314880371094,28600,2020-03-18
2020-03-19,48.91999816894531,54.02000045776367,48.91999816894531,53.2400016784668,50.90095520019531,29000,2020-03-19
2020-03-20,52.189998626708984,54.45000076293945,47.7599983215332,50.45000076293945,48.4154167175293,31000,2020-03-20
2020-03-23,50.810001373291016,52.630001068115234,47.65999984741211,49.0,47.023887634277344,17500,2020-03-23
2020-03-24,51.45000076293945,54.95000076293945,51.34000015258789,54.060001373291016,51.87982177734375,17900,2020-03-24
2020-03-25,54.2400016784668,55.7400016784668,52.0099983215332,54.130001068115234,51.94700622558594,15100,2020-03-25
2020-03-26,54.5,58.7400016784668,53.0099983215332,58.7400016784668,56.371089935302734,15600,2020-03-26
2020-03-27,56.95000076293945,58.25,51.02000045776367,51.5,49.42306900024414,5300,2020-03-27
2020-03-30,52.43000030517578,55.0,52.099998474121094,55.0,52.78192138671875,6300,2020-03-30
2020-03-31,54.7400016784668,56.0,50.630001068115234,56.0,53.74159240722656,9900,2020-03-31
2020-04-01,53.150001525878906,53.150001525878906,50.81999969482422,50.81999969482422,48.77049255371094,10700,2020-04-01
2020-04-02,52.709999084472656,56.93000030517578,52.709999084472656,54.9900016784668,52.77231216430664,23500,2020-04-02
2020-04-03,54.04999923706055,55.29999923706055,52.31999969482422,54.43000030517578,52.234901428222656,16600,2020-04-03
2020-04-06,57.02000045776367,59.95000076293945,57.0,59.95000076293945,57.53229522705078,16200,2020-04-06
2020-04-07,59.95000076293945,59.95000076293945,56.08000183105469,59.25,56.86052322387695,9300,2020-04-07
2020-04-08,59.439998626708984,59.900001525878906,58.29999923706055,59.900001525878906,57.484310150146484,13900,2020-04-08
2020-04-09,59.95000076293945,60.810001373291016,57.560001373291016,59.81999969482422,57.407535552978516,15100,2020-04-09
2020-04-13,59.099998474121094,59.099998474121094,56.599998474121094,56.65999984741211,54.37496566772461,5800,2020-04-13
2020-04-14,58.150001525878906,58.84000015258789,53.619998931884766,56.5,54.22141647338867,5300,2020-04-14
2020-04-15,54.7599983215332,58.900001525878906,52.61000061035156,52.61000061035156,50.48830795288086,8400,2020-04-15
2020-04-16,54.16999816894531,54.16999816894531,47.5,52.0099983215332,49.91250228881836,15300,2020-04-16
2020-04-17,53.099998474121094,56.77000045776367,53.099998474121094,55.5,53.261756896972656,13100,2020-04-17
2020-04-20,53.540000915527344,57.20000076293945,51.52000045776367,51.9900016784668,49.893310546875,6700,2020-04-20
2020-04-21,49.689998626708984,51.349998474121094,49.689998626708984,50.849998474121094,48.799278259277344,3500,2020-04-21
2020-04-22,49.79999923706055,54.20000076293945,49.79999923706055,54.20000076293945,52.01417541503906,5500,2020-04-22
2020-04-23,53.290000915527344,53.880001068115234,50.7599983215332,51.59000015258789,49.50943374633789,7600,2020-04-23
2020-04-24,51.54999923706055,54.5,51.0,51.0,48.9432373046875,3900,2020-04-24
2020-04-27,54.0,54.0,52.209999084472656,53.880001068115234,51.707088470458984,8000,2020-04-27
2020-04-28,54.4900016784668,55.060001373291016,53.720001220703125,53.720001220703125,51.55353546142578,6800,2020-04-28
2020-04-29,55.630001068115234,57.25,55.630001068115234,55.650001525878906,53.405696868896484,13600,2020-04-29
2020-04-30,54.36000061035156,54.36000061035156,50.849998474121094,51.220001220703125,49.154361724853516,6900,2020-04-30
2020-05-01,50.04999923706055,54.209999084472656,50.04999923706055,52.9900016784668,50.85297393798828,8500,2020-05-01
2020-05-04,52.77000045776367,54.900001525878906,52.20000076293945,52.70000076293945,50.574676513671875,7300,2020-05-04
2020-05-05,51.77000045776367,51.88999938964844,50.41999816894531,51.0,48.9432373046875,7000,2020-05-05
2020-05-06,51.40999984741211,55.18000030517578,50.52000045776367,51.150001525878906,49.08718490600586,3300,2020-05-06
2020-05-07,51.63999938964844,51.650001525878906,50.0,50.0,47.98356246948242,13500,2020-05-07
2020-05-08,51.349998474121094,51.72999954223633,50.720001220703125,50.720001220703125,48.674522399902344,5400,2020-05-08
2020-05-11,50.029998779296875,50.5,50.0,50.290000915527344,48.261863708496094,13700,2020-05-11
2020-05-12,50.0,51.04999923706055,48.75,48.75,46.783966064453125,17600,2020-05-12
2020-05-13,48.09000015258789,50.36000061035156,48.09000015258789,49.25,47.26381301879883,15300,2020-05-13
2020-05-14,48.41999816894531,49.849998474121094,48.290000915527344,49.849998474121094,47.83960723876953,8700,2020-05-14
2020-05-15,50.04999923706055,51.099998474121094,50.04999923706055,51.040000915527344,48.98161697387695,7400,2020-05-15
2020-05-18,56.0,57.529998779296875,55.209999084472656,57.529998779296875,55.20988082885742,23100,2020-05-18
2020-05-19,56.11000061035156,57.439998626708984,53.59000015258789,55.68000030517578,53.43449020385742,9600,2020-05-19
2020-05-20,56.0,57.959999084472656,52.4900016784668,57.959999084472656,55.6225471496582,11300,2020-05-20
2020-05-21,57.029998779296875,58.5,57.029998779296875,57.15999984741211,54.85479736328125,8500,2020-05-21
2020-05-22,58.439998626708984,58.70000076293945,57.29999923706055,58.0,55.66093063354492,7300,2020-05-22
2020-05-26,59.86000061035156,61.939998626708984,59.790000915527344,61.599998474121094,59.11574935913086,18300,2020-05-26
2020-05-27,62.400001525878906,63.4900016784668,61.650001525878906,63.099998474121094,60.555259704589844,14700,2020-05-27
2020-05-28,63.470001220703125,63.470001220703125,61.29999923706055,61.29999923706055,58.827850341796875,11700,2020-05-28
2020-05-29,60.959999084472656,63.72999954223633,56.810001373291016,62.349998474121094,59.83550262451172,62400,2020-05-29
2020-06-01,62.25,62.36000061035156,58.599998474121094,58.810001373291016,56.43826675415039,16700,2020-06-01
2020-06-02,59.88999938964844,59.88999938964844,58.15999984741211,58.15999984741211,55.81447982788086,7000,2020-06-02
2020-06-03,59.529998779296875,63.779998779296875,56.20000076293945,63.65999984741211,61.09267044067383,11000,2020-06-03
2020-06-04,63.880001068115234,63.880001068115234,60.7400016784668,62.33000183105469,59.81631088256836,14400,2020-06-04
2020-06-05,63.95000076293945,65.0,59.529998779296875,65.0,62.378631591796875,25000,2020-06-05
2020-06-08,65.0,65.0,61.45000076293945,61.45000076293945,58.971797943115234,17000,2020-06-08
2020-06-09,62.54999923706055,64.5,62.09000015258789,63.349998474121094,60.795169830322266,8100,2020-06-09
2020-06-10,64.6500015258789,64.6500015258789,62.400001525878906,62.400001525878906,59.883487701416016,5200,2020-06-10
2020-06-11,60.060001373291016,62.20000076293945,55.599998474121094,55.599998474121094,53.35771179199219,9200,2020-06-11
2020-06-12,57.7599983215332,60.68000030517578,57.7599983215332,60.16999816894531,57.74341583251953,15300,2020-06-12
2020-06-15,58.88999938964844,63.0,58.88999938964844,62.9900016784668,60.4496955871582,24200,2020-06-15
2020-06-16,63.95000076293945,66.0,63.02000045776367,65.0,62.378631591796875,22300,2020-06-16
2020-06-17,64.5,65.7699966430664,63.099998474121094,64.75,62.13871383666992,30800,2020-06-17
2020-06-18,63.5,65.80000305175781,63.04999923706055,65.61000061035156,62.964027404785156,28600,2020-06-18
2020-06-19,65.56999969482422,66.4000015258789,61.0099983215332,63.849998474121094,61.27500534057617,59100,2020-06-19
2020-06-22,63.099998474121094,64.93000030517578,62.40999984741211,64.77999877929688,62.36284637451172,25600,2020-06-22
