Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,22.209999084472656,22.3799991607666,21.6200008392334,21.739999771118164,19.25528335571289,64700,2020-01-02
2020-01-03,21.56999969482422,21.799999237060547,21.299999237060547,21.5,19.042715072631836,80500,2020-01-03
2020-01-06,21.34000015258789,21.520000457763672,21.010000228881836,21.1299991607666,18.71500015258789,43600,2020-01-06
2020-01-07,21.149999618530273,21.270000457763672,21.010000228881836,21.200000762939453,18.77700424194336,38300,2020-01-07
2020-01-08,21.139999389648438,21.510000228881836,21.139999389648438,21.309999465942383,18.874427795410156,34100,2020-01-08
2020-01-09,21.489999771118164,21.5,21.059999465942383,21.170000076293945,18.750431060791016,31700,2020-01-09
2020-01-10,21.100000381469727,21.360000610351562,20.81999969482422,21.110000610351562,18.697284698486328,41600,2020-01-10
2020-01-13,21.100000381469727,21.5,20.969999313354492,21.40999984741211,18.962997436523438,39800,2020-01-13
2020-01-14,21.360000610351562,21.770000457763672,21.139999389648438,21.5,19.042715072631836,29800,2020-01-14
2020-01-15,21.459999084472656,21.889999389648438,21.450000762939453,21.549999237060547,19.08699607849121,33600,2020-01-15
2020-01-16,21.760000228881836,22.1299991607666,21.56999969482422,21.829999923706055,19.33499526977539,82700,2020-01-16
2020-01-17,21.979999542236328,21.979999542236328,21.350000381469727,21.450000762939453,18.99842643737793,31700,2020-01-17
2020-01-21,21.450000762939453,21.450000762939453,20.68000030517578,20.770000457763672,18.396150588989258,66300,2020-01-21
2020-01-22,20.8700008392334,21.139999389648438,20.68000030517578,20.950000762939453,18.555574417114258,36600,2020-01-22
2020-01-23,20.799999237060547,20.989999771118164,20.450000762939453,20.899999618530273,18.511287689208984,46900,2020-01-23
2020-01-24,20.899999618530273,21.3799991607666,20.6200008392334,21.25,18.821287155151367,59700,2020-01-24
2020-01-27,20.860000610351562,21.1299991607666,20.610000610351562,20.780000686645508,18.40500259399414,52200,2020-01-27
2020-01-28,20.81999969482422,20.979999542236328,20.6299991607666,20.93000030517578,18.53786277770996,32400,2020-01-28
2020-01-29,20.969999313354492,20.969999313354492,19.90999984741211,19.989999771118164,17.70529556274414,80000,2020-01-29
2020-01-30,19.8799991607666,20.520000457763672,19.8799991607666,20.510000228881836,18.165863037109375,33100,2020-01-30
