Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,38.5,38.5,36.0,36.75,36.75,24576,2020-01-02
2020-01-03,35.25,36.75,35.0,36.25,36.25,28436,2020-01-03
2020-01-06,36.25,39.25,34.0,37.5,37.5,21292,2020-01-06
2020-01-07,38.5,40.5,37.25,38.75,38.75,23700,2020-01-07
2020-01-08,38.25,39.5,36.0,36.5,36.5,19332,2020-01-08
2020-01-09,36.5,38.0,36.0,37.0,37.0,10568,2020-01-09
2020-01-10,36.5,38.0,35.0,35.25,35.25,28492,2020-01-10
2020-01-13,35.25,35.75,31.25,33.25,33.25,35720,2020-01-13
2020-01-14,32.75,33.5,30.25,32.5,32.5,25224,2020-01-14
2020-01-15,33.0,35.0,32.75,34.0,34.0,18340,2020-01-15
2020-01-16,34.5,35.25,32.25,32.25,32.25,23428,2020-01-16
2020-01-17,33.25,33.5,30.5,31.75,31.75,41960,2020-01-17
2020-01-21,31.5,32.5,30.0,30.5,30.5,21240,2020-01-21
2020-01-22,30.5,31.25,28.0,28.5,28.5,33484,2020-01-22
2020-01-23,28.0,28.25,26.25,26.75,26.75,37344,2020-01-23
2020-01-24,26.25,27.125,25.25,25.5,25.5,27648,2020-01-24
2020-01-27,26.5,28.0,24.75,27.0,27.0,23160,2020-01-27
2020-01-28,27.25,27.75,25.5,26.25,26.25,18172,2020-01-28
2020-01-29,26.75,26.75,25.5,25.75,25.75,19072,2020-01-29
2020-01-30,25.75,25.75,24.5,24.924999237060547,24.924999237060547,20460,2020-01-30
2020-01-31,24.5,25.25,23.75,24.899999618530273,24.899999618530273,25744,2020-01-31
2020-02-03,25.0,25.25,24.5,24.725000381469727,24.725000381469727,25088,2020-02-03
2020-02-04,25.0,25.625,24.325000762939453,24.575000762939453,24.575000762939453,18164,2020-02-04
2020-02-05,24.850000381469727,27.25,24.75,26.0,26.0,18380,2020-02-05
2020-02-06,26.25,26.5,24.75,24.875,24.875,22476,2020-02-06
2020-02-07,25.25,27.0,24.0,25.75,25.75,41056,2020-02-07
2020-02-10,26.25,26.25,25.25,25.75,25.75,19816,2020-02-10
2020-02-11,26.0,26.375,25.5,25.5,25.5,23448,2020-02-11
2020-02-12,26.25,26.25,24.825000762939453,25.0,25.0,19612,2020-02-12
2020-02-13,25.0,25.5,24.25,24.299999237060547,24.299999237060547,19632,2020-02-13
2020-02-14,24.524999618530273,25.0,24.0,24.450000762939453,24.450000762939453,16012,2020-02-14
2020-02-18,25.5,25.5,24.5,24.674999237060547,24.674999237060547,21540,2020-02-18
2020-02-19,25.5,25.5,22.649999618530273,24.075000762939453,24.075000762939453,46408,2020-02-19
2020-02-20,24.399999618530273,28.0,24.25,27.5,27.5,67596,2020-02-20
2020-02-21,28.0,28.0,25.75,26.25,26.25,34312,2020-02-21
2020-02-24,26.5,28.75,25.5,28.0,28.0,26336,2020-02-24
2020-02-25,28.5,28.5,23.799999237060547,24.125,24.125,31076,2020-02-25
2020-02-26,24.0,25.0,19.375,20.5,20.5,51376,2020-02-26
2020-02-27,20.75,21.600000381469727,18.75,20.75,20.75,39340,2020-02-27
2020-02-28,20.25,20.75,18.75,19.475000381469727,19.475000381469727,30456,2020-02-28
2020-03-02,19.0,22.924999237060547,19.0,22.299999237060547,22.299999237060547,24364,2020-03-02
2020-03-03,23.5,23.5,20.0,20.625,20.625,29292,2020-03-03
2020-03-04,20.950000762939453,21.850000381469727,20.0,21.850000381469727,21.850000381469727,22512,2020-03-04
2020-03-05,21.5,22.5,19.5,20.100000381469727,20.100000381469727,27140,2020-03-05
2020-03-06,19.5,21.0,19.25,19.799999237060547,19.799999237060547,19140,2020-03-06
2020-03-09,18.75,20.0,15.75,15.875,15.875,27636,2020-03-09
2020-03-10,18.100000381469727,20.0,17.5,17.799999237060547,17.799999237060547,39568,2020-03-10
2020-03-11,18.899999618530273,19.725000381469727,16.274999618530273,16.5,16.5,24520,2020-03-11
2020-03-12,16.725000381469727,18.25,16.25,17.375,17.375,21896,2020-03-12
2020-03-13,18.350000381469727,18.5,16.274999618530273,17.924999237060547,17.924999237060547,15816,2020-03-13
2020-03-16,16.549999237060547,17.25,15.0,15.875,15.875,20184,2020-03-16
2020-03-17,16.75,18.299999237060547,15.25,17.924999237060547,17.924999237060547,28060,2020-03-17
2020-03-18,17.549999237060547,17.549999237060547,12.5,14.024999618530273,14.024999618530273,34884,2020-03-18
2020-03-19,15.0,19.0,14.5,19.0,19.0,28572,2020-03-19
2020-03-20,18.25,18.75,15.5,15.5,15.5,22812,2020-03-20
2020-03-23,15.5,17.5,15.5,15.75,15.75,20300,2020-03-23
2020-03-24,16.575000762939453,17.0,14.125,16.174999237060547,16.174999237060547,31384,2020-03-24
2020-03-25,15.5,17.25,14.5,16.25,16.25,29472,2020-03-25
2020-03-26,16.25,17.5,16.075000762939453,17.5,17.5,18164,2020-03-26
2020-03-27,16.899999618530273,18.25,15.25,17.049999237060547,17.049999237060547,19832,2020-03-27
2020-03-30,16.25,17.5,15.75,16.25,16.25,15908,2020-03-30
2020-03-31,17.0,17.5,15.5,15.75,15.75,17620,2020-03-31
2020-04-01,15.5,16.174999237060547,14.75,14.774999618530273,14.774999618530273,20960,2020-04-01
2020-04-02,14.899999618530273,15.824999809265137,14.5,14.925000190734863,14.925000190734863,13748,2020-04-02
2020-04-03,14.5,15.5,14.5,14.75,14.75,9996,2020-04-03
2020-04-06,14.800000190734863,16.600000381469727,14.800000190734863,16.25,16.25,15860,2020-04-06
2020-04-07,16.674999237060547,17.0,14.5,15.074999809265137,15.074999809265137,18188,2020-04-07
2020-04-08,15.25,16.450000762939453,15.25,16.25,16.25,14080,2020-04-08
2020-04-09,16.25,16.725000381469727,15.25,15.574999809265137,15.574999809265137,12552,2020-04-09
2020-04-13,15.699999809265137,18.0,15.25,17.149999618530273,17.149999618530273,18860,2020-04-13
2020-04-14,18.25,19.0,17.149999618530273,17.75,17.75,19452,2020-04-14
2020-04-15,17.75,17.75,15.774999618530273,16.325000762939453,16.325000762939453,9844,2020-04-15
2020-04-16,17.0,17.5,15.274999618530273,15.75,15.75,12836,2020-04-16
2020-04-17,17.25,17.25,15.5,16.350000381469727,16.350000381469727,12032,2020-04-17
2020-04-20,16.200000762939453,20.5,16.100000381469727,16.975000381469727,16.975000381469727,23440,2020-04-20
2020-04-21,17.125,17.200000762939453,15.5,16.075000762939453,16.075000762939453,14300,2020-04-21
2020-04-22,17.200000762939453,17.200000762939453,15.75,17.0,17.0,7828,2020-04-22
2020-04-23,17.0,18.149999618530273,16.75,17.399999618530273,17.399999618530273,11416,2020-04-23
2020-04-24,18.024999618530273,18.25,16.5,17.125,17.125,14924,2020-04-24
2020-04-27,17.75,18.225000381469727,17.0,17.774999618530273,17.774999618530273,11072,2020-04-27
2020-04-28,18.25,18.299999237060547,17.75,18.225000381469727,18.225000381469727,12508,2020-04-28
2020-04-29,18.325000762939453,23.0,18.125,19.049999237060547,19.049999237060547,34672,2020-04-29
2020-04-30,19.049999237060547,22.25,18.549999237060547,19.225000381469727,19.225000381469727,18492,2020-04-30
2020-05-01,19.5,20.0,18.125,19.274999618530273,19.274999618530273,11448,2020-05-01
2020-05-04,20.225000381469727,22.5,19.799999237060547,22.0,22.0,16764,2020-05-04
2020-05-05,23.0,27.5,22.5,25.0,25.0,38152,2020-05-05
2020-05-06,25.0,26.0,23.125,24.975000381469727,24.975000381469727,16256,2020-05-06
2020-05-07,23.75,24.875,23.424999237060547,23.5,23.5,20796,2020-05-07
2020-05-08,24.299999237060547,24.975000381469727,23.25,23.774999618530273,23.774999618530273,12620,2020-05-08
2020-05-11,24.0,30.0,23.75,28.0,28.0,49352,2020-05-11
2020-05-12,24.75,26.5,24.25,25.375,25.375,32860,2020-05-12
2020-05-13,25.0,26.25,23.274999618530273,26.25,26.25,31640,2020-05-13
2020-05-14,25.75,26.0,23.5,23.975000381469727,23.975000381469727,16644,2020-05-14
2020-05-15,23.75,24.325000762939453,23.0,23.0,23.0,10532,2020-05-15
2020-05-18,23.75,24.75,22.5,23.25,23.25,16400,2020-05-18
2020-05-19,23.174999237060547,25.5,21.25,22.0,22.0,102696,2020-05-19
2020-05-20,22.25,23.049999237060547,21.5,22.549999237060547,22.549999237060547,22436,2020-05-20
2020-05-21,22.774999618530273,23.0,21.524999618530273,22.0,22.0,21136,2020-05-21
2020-05-22,22.0,22.5,20.5,22.0,22.0,31100,2020-05-22
2020-05-26,22.0,24.549999237060547,22.0,24.549999237060547,24.549999237060547,28100,2020-05-26
2020-05-27,24.25,24.5,22.75,24.350000381469727,24.350000381469727,13072,2020-05-27
2020-05-28,25.75,29.0,25.0,25.5,25.5,50688,2020-05-28
2020-05-29,25.5,25.524999618530273,24.0,24.725000381469727,24.725000381469727,15500,2020-05-29
2020-06-01,24.75,25.75,23.25,23.75,23.75,18912,2020-06-01
2020-06-02,24.375,24.825000762939453,22.5,22.524999618530273,22.524999618530273,15224,2020-06-02
2020-06-03,23.049999237060547,24.25,22.0,22.5,22.5,20956,2020-06-03
2020-06-04,22.5,23.725000381469727,22.225000381469727,22.475000381469727,22.475000381469727,24424,2020-06-04
2020-06-05,23.25,23.5,21.575000762939453,22.549999237060547,22.549999237060547,28912,2020-06-05
2020-06-08,23.024999618530273,24.5,22.5,23.274999618530273,23.274999618530273,21648,2020-06-08
2020-06-09,23.375,28.0,22.649999618530273,26.0,26.0,62644,2020-06-09
2020-06-10,26.75,26.75,24.0,24.475000381469727,24.475000381469727,22112,2020-06-10
2020-06-11,23.975000381469727,23.975000381469727,21.924999237060547,22.100000381469727,22.100000381469727,39124,2020-06-11
2020-06-12,24.5,24.5,22.25,22.825000762939453,22.825000762939453,13708,2020-06-12
2020-06-15,22.174999237060547,24.125,21.899999618530273,23.700000762939453,23.700000762939453,17048,2020-06-15
2020-06-16,24.25,24.25,22.75,23.75,23.75,12996,2020-06-16
2020-06-17,23.75,23.75,22.0,22.450000762939453,22.450000762939453,19956,2020-06-17
2020-06-18,23.399999618530273,23.399999618530273,21.5,21.549999237060547,21.549999237060547,18196,2020-06-18
2020-06-19,21.75,22.25,21.25,21.375,21.375,23392,2020-06-19
2020-06-22,22.5,22.5,20.024999618530273,20.399999618530273,20.399999618530273,44988,2020-06-22
2020-06-23,21.200000762939453,21.25,19.024999618530273,19.825000762939453,19.825000762939453,40736,2020-06-23
2020-06-24,20.200000762939453,23.774999618530273,18.799999237060547,22.549999237060547,22.549999237060547,73448,2020-06-24
2020-06-25,23.475000381469727,23.475000381469727,20.774999618530273,21.75,21.75,56904,2020-06-25
2020-06-26,22.25,22.399999618530273,19.825000762939453,20.25,20.25,272800,2020-06-26
2020-06-29,20.0,22.0,20.0,20.700000762939453,20.700000762939453,24932,2020-06-29
2020-06-30,20.75,21.75,20.5,20.5,20.5,14660,2020-06-30
2020-07-01,20.5,21.25,19.799999237060547,20.200000762939453,20.200000762939453,30580,2020-07-01
2020-07-02,18.75,20.200000762939453,18.75,19.5,19.5,45464,2020-07-02
2020-07-06,20.125,21.225000381469727,19.625,20.475000381469727,20.475000381469727,17028,2020-07-06
2020-07-07,20.25,20.850000381469727,19.75,20.125,20.125,9620,2020-07-07
2020-07-08,20.125,21.125,20.125,20.649999618530273,20.649999618530273,16024,2020-07-08
2020-07-09,21.25,21.25,19.75,20.25,20.25,11784,2020-07-09
2020-07-10,20.375,21.0,19.899999618530273,20.924999237060547,20.924999237060547,27588,2020-07-10
2020-07-13,20.799999237060547,20.924999237060547,19.75,19.875,19.875,12380,2020-07-13
2020-07-14,20.350000381469727,20.5,19.0,19.75,19.75,11844,2020-07-14
2020-07-15,19.600000381469727,20.5,19.5,20.450000762939453,20.450000762939453,10088,2020-07-15
2020-07-16,19.975000381469727,20.450000762939453,19.75,20.274999618530273,20.274999618530273,9748,2020-07-16
2020-07-17,20.25,21.25,19.899999618530273,20.850000381469727,20.850000381469727,14288,2020-07-17
2020-07-20,20.5,21.25,20.0,20.149999618530273,20.149999618530273,15136,2020-07-20
2020-07-21,20.125,20.475000381469727,19.024999618530273,19.825000762939453,19.825000762939453,11216,2020-07-21
2020-07-22,19.825000762939453,20.350000381469727,19.174999237060547,19.5,19.5,11752,2020-07-22
2020-07-23,19.875,20.125,19.25,19.549999237060547,19.549999237060547,10448,2020-07-23
