Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,27.309999465942383,27.489999771118164,27.309999465942383,27.469999313354492,22.185178756713867,34500,2020-01-02
2020-01-03,27.360000610351562,27.639999389648438,27.360000610351562,27.639999389648438,22.322471618652344,29900,2020-01-03
2020-01-06,27.68000030517578,27.729999542236328,27.5,27.649999618530273,22.330547332763672,22200,2020-01-06
2020-01-07,27.75,27.75,27.489999771118164,27.610000610351562,22.298242568969727,36000,2020-01-07
2020-01-08,27.600000381469727,27.799999237060547,27.59000015258789,27.799999237060547,22.451692581176758,50300,2020-01-08
2020-01-09,27.799999237060547,27.799999237060547,27.5,27.56999969482422,22.265939712524414,25600,2020-01-09
2020-01-10,27.639999389648438,27.739999771118164,27.530000686645508,27.719999313354492,22.387081146240234,14900,2020-01-10
2020-01-13,27.729999542236328,27.75,27.6299991607666,27.6299991607666,22.314395904541016,29900,2020-01-13
2020-01-14,27.610000610351562,27.790000915527344,27.600000381469727,27.65999984741211,22.338623046875,9200,2020-01-14
2020-01-15,27.65999984741211,27.790000915527344,27.549999237060547,27.790000915527344,22.443613052368164,18500,2020-01-15
2020-01-16,27.790000915527344,27.790000915527344,27.719999313354492,27.75,22.411312103271484,8400,2020-01-16
2020-01-17,27.739999771118164,27.799999237060547,27.739999771118164,27.799999237060547,22.451692581176758,25400,2020-01-17
2020-01-21,27.799999237060547,27.799999237060547,27.780000686645508,27.799999237060547,22.451692581176758,18600,2020-01-21
2020-01-22,27.799999237060547,27.84000015258789,27.780000686645508,27.81999969482422,22.46784210205078,42700,2020-01-22
2020-01-23,27.84000015258789,27.84000015258789,27.760000228881836,27.829999923706055,22.475915908813477,21600,2020-01-23
2020-01-24,27.850000381469727,27.8700008392334,27.729999542236328,27.829999923706055,22.475915908813477,16100,2020-01-24
2020-01-27,27.81999969482422,27.829999923706055,27.729999542236328,27.81999969482422,22.46784210205078,11000,2020-01-27
2020-01-28,27.790000915527344,27.920000076293945,27.790000915527344,27.899999618530273,22.53244972229004,30500,2020-01-28
2020-01-29,27.93000030517578,27.950000762939453,27.899999618530273,27.940000534057617,22.564760208129883,24600,2020-01-29
2020-01-30,27.950000762939453,27.950000762939453,27.90999984741211,27.950000762939453,22.572830200195312,16500,2020-01-30
2020-01-31,27.950000762939453,27.950000762939453,27.850000381469727,27.850000381469727,22.4920711517334,49800,2020-01-31
2020-02-03,27.950000762939453,27.950000762939453,27.899999618530273,27.950000762939453,22.572830200195312,12100,2020-02-03
2020-02-04,27.950000762939453,28.0,27.90999984741211,28.0,22.613208770751953,36700,2020-02-04
2020-02-05,28.059999465942383,28.059999465942383,27.950000762939453,28.059999465942383,22.661670684814453,56600,2020-02-05
2020-02-06,27.959999084472656,28.06999969482422,27.959999084472656,28.040000915527344,22.64551544189453,36000,2020-02-06
2020-02-07,28.049999237060547,28.190000534057617,28.010000228881836,28.190000534057617,22.76666259765625,35200,2020-02-07
2020-02-10,28.239999771118164,28.239999771118164,28.170000076293945,28.200000762939453,22.774736404418945,13300,2020-02-10
2020-02-11,28.200000762939453,28.3700008392334,28.139999389648438,28.34000015258789,22.887802124023438,24300,2020-02-11
2020-02-12,28.309999465942383,28.540000915527344,28.280000686645508,28.540000915527344,23.049325942993164,24800,2020-02-12
2020-02-13,28.530000686645508,28.690000534057617,28.299999237060547,28.600000381469727,23.097780227661133,15500,2020-02-13
2020-02-14,28.450000762939453,28.8799991607666,28.450000762939453,28.760000228881836,23.22699737548828,23100,2020-02-14
2020-02-18,28.780000686645508,28.790000915527344,28.59000015258789,28.690000534057617,23.170467376708984,15100,2020-02-18
2020-02-19,28.68000030517578,28.75,28.59000015258789,28.6200008392334,23.113935470581055,44700,2020-02-19
2020-02-20,28.639999389648438,28.690000534057617,28.420000076293945,28.549999237060547,23.057401657104492,19800,2020-02-20
2020-02-21,28.5,28.5,28.260000228881836,28.260000228881836,22.823190689086914,13200,2020-02-21
2020-02-24,28.260000228881836,28.260000228881836,27.790000915527344,27.790000915527344,22.443613052368164,29700,2020-02-24
2020-02-25,27.899999618530273,28.079999923706055,27.43000030517578,27.5,22.20940399169922,51500,2020-02-25
2020-02-26,27.760000228881836,27.760000228881836,27.350000381469727,27.610000610351562,22.298242568969727,41200,2020-02-26
2020-02-27,27.770000457763672,27.770000457763672,27.149999618530273,27.450000762939453,22.16902732849121,43700,2020-02-27
2020-02-28,27.25,27.350000381469727,26.950000762939453,26.950000762939453,21.76521873474121,131000,2020-02-28
2020-03-02,27.06999969482422,27.530000686645508,27.06999969482422,27.5,22.20940399169922,18100,2020-03-02
