Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,167.67999267578125,168.32000732421875,166.6699981689453,166.75,154.40170288085938,369900,2020-01-02
2020-01-03,165.83999633789062,167.0800018310547,165.82000732421875,166.41000366210938,154.0869140625,376300,2020-01-03
2020-01-06,167.47999572753906,167.86000061035156,167.14999389648438,167.72000122070312,155.29986572265625,342800,2020-01-06
2020-01-07,167.3300018310547,167.3300018310547,166.0800018310547,166.27999877929688,153.9665069580078,366100,2020-01-07
2020-01-08,168.17999267578125,168.99000549316406,167.82000732421875,168.5,156.02212524414062,366100,2020-01-08
2020-01-09,169.66000366210938,170.42999267578125,169.25,169.85000610351562,157.27215576171875,318400,2020-01-09
2020-01-10,169.8300018310547,170.14999389648438,168.91000366210938,169.13999938964844,156.61473083496094,309100,2020-01-10
2020-01-13,167.30999755859375,168.49000549316406,167.17999267578125,167.92999267578125,155.4943084716797,456900,2020-01-13
2020-01-14,168.1300048828125,168.3300018310547,167.60000610351562,168.14999389648438,155.69802856445312,311500,2020-01-14
2020-01-15,169.2899932861328,170.72999572753906,169.1199951171875,170.3000030517578,157.68881225585938,336100,2020-01-15
2020-01-16,170.11000061035156,170.2100067138672,169.2899932861328,170.2100067138672,157.60548400878906,299000,2020-01-16
2020-01-17,170.8000030517578,171.2899932861328,170.38999938964844,170.6999969482422,158.0592041015625,291600,2020-01-17
2020-01-21,169.4499969482422,170.27000427246094,169.38999938964844,169.7899932861328,157.216552734375,390500,2020-01-21
2020-01-22,169.66000366210938,169.8000030517578,168.97999572753906,168.97999572753906,156.46658325195312,251200,2020-01-22
2020-01-23,169.49000549316406,169.52000427246094,168.5500030517578,169.05999755859375,156.5406494140625,263700,2020-01-23
2020-01-24,170.3000030517578,170.5399932861328,168.74000549316406,169.19000244140625,156.66102600097656,299200,2020-01-24
2020-01-27,166.91000366210938,167.61000061035156,166.1300048828125,166.39999389648438,154.07763671875,249500,2020-01-27
2020-01-28,162.5800018310547,163.7100067138672,162.5399932861328,162.9499969482422,150.8831024169922,426900,2020-01-28
2020-01-29,161.35000610351562,162.1300048828125,160.58999633789062,160.8300018310547,148.92010498046875,352800,2020-01-29
2020-01-30,158.47000122070312,158.80999755859375,156.86000061035156,158.39999389648438,146.67005920410156,719500,2020-01-30
2020-01-31,158.88999938964844,159.22999572753906,157.55999755859375,157.9499969482422,146.2533721923828,531200,2020-01-31
2020-02-03,161.47999572753906,161.58999633789062,160.32000732421875,160.32000732421875,148.44786071777344,434500,2020-02-03
2020-02-04,163.17999267578125,163.7100067138672,162.66000366210938,162.66000366210938,150.61459350585938,540400,2020-02-04
2020-02-05,163.4499969482422,163.9199981689453,162.58999633789062,163.27999877929688,151.18865966796875,480400,2020-02-05
2020-02-06,165.3000030517578,165.9499969482422,165.02000427246094,165.57000732421875,153.30909729003906,412700,2020-02-06
2020-02-07,164.6999969482422,164.82000732421875,162.91000366210938,163.19000244140625,151.1053466796875,351200,2020-02-07
2020-02-10,162.35000610351562,162.64999389648438,161.8800048828125,162.25,150.2349395751953,248000,2020-02-10
2020-02-11,162.25999450683594,162.6199951171875,161.1699981689453,161.69000244140625,149.71641540527344,325600,2020-02-11
2020-02-12,161.5800018310547,161.60000610351562,160.32000732421875,160.36000061035156,148.4849090576172,414000,2020-02-12
2020-02-13,159.6699981689453,161.02000427246094,159.33999633789062,160.4600067138672,148.5775146484375,347000,2020-02-13
2020-02-14,160.22999572753906,160.97000122070312,159.52000427246094,160.86000061035156,148.9478759765625,272100,2020-02-14
2020-02-18,162.00999450683594,162.44000244140625,161.72000122070312,161.77000427246094,149.79046630859375,311600,2020-02-18
2020-02-19,163.19000244140625,163.1999969482422,162.1199951171875,162.27999877929688,150.26272583007812,222300,2020-02-19
2020-02-20,160.8800048828125,161.75,160.5800018310547,161.42999267578125,149.47564697265625,320200,2020-02-20
2020-02-21,161.47000122070312,161.6699981689453,160.52000427246094,161.39999389648438,149.4478759765625,241100,2020-02-21
2020-02-24,155.07000732421875,156.39999389648438,155.07000732421875,155.41000366210938,143.90145874023438,622900,2020-02-24
2020-02-25,154.83999633789062,155.5,152.30999755859375,152.60000610351562,141.29954528808594,444900,2020-02-25
2020-02-26,149.94000244140625,151.8800048828125,149.66000366210938,149.6699981689453,138.58653259277344,596900,2020-02-26
2020-02-27,146.92999267578125,147.27999877929688,143.91000366210938,144.0399932861328,134.6654815673828,850100,2020-02-27
2020-02-28,140.61000061035156,142.86000061035156,138.91000366210938,141.91000366210938,132.6741180419922,1178500,2020-02-28
2020-03-02,142.6199951171875,145.63999938964844,142.2899932861328,145.63999938964844,136.16134643554688,723700,2020-03-02
2020-03-03,145.0399932861328,146.5,143.17999267578125,143.9199981689453,134.55328369140625,914800,2020-03-03
2020-03-04,145.0,147.8000030517578,144.24000549316406,147.7899932861328,138.17141723632812,573500,2020-03-04
2020-03-05,143.7899932861328,145.3300018310547,143.11000061035156,144.00999450683594,134.637451171875,582400,2020-03-05
2020-03-06,141.2100067138672,144.5,140.7100067138672,144.0399932861328,134.6654815673828,645800,2020-03-06
2020-03-09,135.75999450683594,139.2899932861328,134.6199951171875,134.64999389648438,125.8865966796875,1554100,2020-03-09
2020-03-10,137.77000427246094,139.3300018310547,134.05999755859375,138.77999877929688,129.74781799316406,881200,2020-03-10
2020-03-11,135.64999389648438,136.19000244140625,129.41000366210938,131.36000061035156,122.81073760986328,1157700,2020-03-11
2020-03-12,121.43000030517578,128.49000549316406,118.0,125.54000091552734,117.3695068359375,1923500,2020-03-12
2020-03-13,125.79000091552734,128.0399932861328,120.80999755859375,127.72000122070312,119.40763092041016,1854800,2020-03-13
2020-03-16,112.91999816894531,118.55999755859375,112.0,114.31999969482422,106.87974548339844,1186100,2020-03-16
2020-03-17,110.55000305175781,113.61000061035156,107.44000244140625,113.41000366210938,106.02897644042969,1602400,2020-03-17
2020-03-18,104.75,106.43000030517578,101.43000030517578,104.04000091552734,97.268798828125,1868400,2020-03-18
2020-03-19,103.44999694824219,114.93000030517578,102.31999969482422,111.58000183105469,104.31807708740234,1364900,2020-03-19
2020-03-20,113.31999969482422,116.01000213623047,109.2699966430664,109.55999755859375,102.42953491210938,1088300,2020-03-20
2020-03-23,107.55999755859375,108.63999938964844,100.5199966430664,102.58999633789062,95.91315460205078,1502300,2020-03-23
2020-03-24,109.52999877929688,114.51000213623047,109.26000213623047,114.38999938964844,106.94518280029297,1198700,2020-03-24
2020-03-25,112.80000305175781,120.68000030517578,112.41999816894531,118.33999633789062,110.63809967041016,1007300,2020-03-25
2020-03-26,121.5199966430664,130.82000732421875,121.38999938964844,130.3699951171875,121.88516235351562,1339600,2020-03-26
2020-03-27,121.75,128.07000732421875,121.5199966430664,125.70999908447266,117.5284423828125,747200,2020-03-27
2020-03-30,126.91999816894531,129.47000122070312,125.63999938964844,128.8000030517578,120.41734313964844,715400,2020-03-30
2020-03-31,125.93000030517578,129.61000061035156,125.56999969482422,127.12000274658203,118.8466796875,628200,2020-03-31
2020-04-01,122.25,123.66999816894531,121.16999816894531,121.51000213623047,113.601806640625,675100,2020-04-01
2020-04-02,121.77999877929688,123.94999694824219,121.3499984741211,123.69000244140625,115.6399154663086,565400,2020-04-02
2020-04-03,120.62000274658203,122.01000213623047,120.12000274658203,121.23999786376953,113.349365234375,628200,2020-04-03
2020-04-06,123.75,127.44999694824219,123.52999877929688,126.41000366210938,118.18289947509766,548400,2020-04-06
2020-04-07,128.77000427246094,129.4199981689453,126.38999938964844,126.47000122070312,118.2389907836914,594900,2020-04-07
2020-04-08,126.11000061035156,128.1999969482422,124.73999786376953,127.66000366210938,119.3515396118164,724900,2020-04-08
2020-04-09,131.3800048828125,134.72999572753906,130.2100067138672,133.5500030517578,124.85819244384766,744300,2020-04-09
2020-04-13,133.00999450683594,133.14999389648438,130.02000427246094,130.6199951171875,122.1188735961914,433800,2020-04-13
2020-04-14,130.99000549316406,134.11000061035156,130.8000030517578,133.80999755859375,125.10128021240234,606600,2020-04-14
2020-04-15,131.82000732421875,134.30999755859375,131.41000366210938,132.69000244140625,124.05416107177734,1121400,2020-04-15
2020-04-16,133.8800048828125,134.22000122070312,131.6699981689453,133.2100067138672,124.54032897949219,389700,2020-04-16
2020-04-17,138.91000366210938,139.07000732421875,136.07000732421875,137.3300018310547,128.3921661376953,611100,2020-04-17
2020-04-20,134.44000244140625,136.85000610351562,134.00999450683594,134.0500030517578,125.32565307617188,617200,2020-04-20
2020-04-21,129.6199951171875,130.91000366210938,127.88999938964844,129.2100067138672,120.8006591796875,938000,2020-04-21
2020-04-22,131.30999755859375,132.74000549316406,130.91000366210938,132.36000061035156,123.74565124511719,528500,2020-04-22
2020-04-23,132.6300048828125,134.25999450683594,131.69000244140625,131.97999572753906,123.39036560058594,367200,2020-04-23
2020-04-24,132.42999267578125,133.3699951171875,131.52999877929688,133.05999755859375,124.40007781982422,345700,2020-04-24
2020-04-27,135.5399932861328,136.75,134.86000061035156,136.4499969482422,127.56945037841797,466500,2020-04-27
2020-04-28,138.83999633789062,138.97999572753906,137.33999633789062,137.69000244140625,128.72877502441406,528000,2020-04-28
2020-04-29,138.0399932861328,139.19000244140625,137.60000610351562,137.74000549316406,128.77552795410156,403900,2020-04-29
2020-04-30,139.66000366210938,139.66000366210938,137.86000061035156,138.64999389648438,129.6262664794922,659400,2020-04-30
2020-05-01,138.64999389648438,139.08999633789062,136.55999755859375,137.1300048828125,128.2052001953125,564500,2020-05-01
2020-05-04,136.11000061035156,137.39999389648438,135.50999450683594,137.39999389648438,128.4576416015625,442200,2020-05-04
2020-05-05,136.0,136.94000244140625,134.49000549316406,134.77999877929688,126.00814819335938,443100,2020-05-05
2020-05-06,136.24000549316406,137.39999389648438,135.72999572753906,136.77999877929688,127.87798309326172,546400,2020-05-06
2020-05-07,137.27999877929688,138.0,136.88999938964844,137.13999938964844,128.2145538330078,652300,2020-05-07
2020-05-08,139.30999755859375,139.4199981689453,138.0,139.11000061035156,130.05633544921875,314500,2020-05-08
2020-05-11,139.2899932861328,141.02999877929688,138.8699951171875,140.1199951171875,131.0006103515625,431400,2020-05-11
2020-05-12,142.92999267578125,142.99000549316406,140.14999389648438,140.3000030517578,131.1688995361328,438200,2020-05-12
2020-05-13,139.9199981689453,139.92999267578125,136.69000244140625,137.6999969482422,128.73809814453125,684600,2020-05-13
2020-05-14,131.94000244140625,134.74000549316406,131.86000061035156,134.60000610351562,125.8398666381836,882200,2020-05-14
2020-05-15,133.86000061035156,135.52999877929688,133.85000610351562,134.6199951171875,125.85856628417969,472500,2020-05-15
2020-05-18,137.88999938964844,140.3699951171875,137.77000427246094,140.10000610351562,130.98191833496094,389200,2020-05-18
2020-05-19,139.1999969482422,140.7100067138672,138.7899932861328,139.1999969482422,130.14047241210938,602100,2020-05-19
2020-05-20,140.0,140.6199951171875,139.02000427246094,139.85000610351562,130.74818420410156,486000,2020-05-20
