Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,293.7900085449219,295.1000061035156,292.1300048828125,293.3999938964844,283.9784851074219,500000,2020-01-02
2020-01-03,291.7200012207031,295.260009765625,290.7799987792969,294.6700134277344,285.20770263671875,490800,2020-01-03
2020-01-06,294.0,294.3800048828125,291.7799987792969,293.95001220703125,284.5108337402344,525400,2020-01-06
2020-01-07,291.70001220703125,293.25,290.8800048828125,291.8500061035156,282.478271484375,501000,2020-01-07
2020-01-08,291.19000244140625,292.20001220703125,288.8800048828125,290.55999755859375,281.22967529296875,543000,2020-01-08
2020-01-09,292.2900085449219,293.6600036621094,287.7799987792969,288.8999938964844,279.6229553222656,994000,2020-01-09
2020-01-10,290.7799987792969,291.3500061035156,287.1000061035156,289.0899963378906,279.806884765625,933400,2020-01-10
2020-01-13,289.57000732421875,290.7099914550781,283.3699951171875,284.0,274.88037109375,726200,2020-01-13
2020-01-14,284.0299987792969,291.0,284.0299987792969,285.1199951171875,275.96435546875,783800,2020-01-14
2020-01-15,284.9700012207031,292.5799865722656,284.7900085449219,288.57000732421875,279.3035888671875,619200,2020-01-15
2020-01-16,289.30999755859375,290.92999267578125,286.95001220703125,287.3599853515625,278.1324157714844,494800,2020-01-16
2020-01-17,287.3599853515625,288.8699951171875,285.6300048828125,286.4700012207031,277.27105712890625,475900,2020-01-17
2020-01-21,286.4599914550781,286.6600036621094,282.3399963378906,285.1099853515625,275.95465087890625,625300,2020-01-21
2020-01-22,286.5299987792969,288.82000732421875,285.6099853515625,285.9100036621094,276.7289733886719,456300,2020-01-22
2020-01-23,285.489990234375,289.010009765625,284.5,288.0199890136719,278.7712097167969,518600,2020-01-23
2020-01-24,289.25,289.25,280.6600036621094,285.1000061035156,275.9450378417969,479100,2020-01-24
2020-01-27,282.0799865722656,287.20001220703125,281.2200012207031,282.8900146484375,273.8059387207031,756300,2020-01-27
2020-01-28,283.07000732421875,287.1199951171875,283.07000732421875,284.17999267578125,275.05450439453125,328100,2020-01-28
2020-01-29,285.1000061035156,286.9700012207031,282.07000732421875,285.4700012207031,276.3031005859375,361500,2020-01-29
2020-01-30,284.0199890136719,284.95001220703125,280.0199890136719,282.3999938964844,273.3316955566406,645600,2020-01-30
2020-01-31,282.95001220703125,282.95001220703125,276.8599853515625,281.75,272.70257568359375,738300,2020-01-31
2020-02-03,282.510009765625,282.95001220703125,270.0799865722656,270.75,262.0557556152344,926300,2020-02-03
2020-02-04,272.6499938964844,274.5400085449219,271.6499938964844,273.3999938964844,264.6206970214844,1057000,2020-02-04
2020-02-05,275.0,278.989990234375,274.1600036621094,278.010009765625,269.0826721191406,1080600,2020-02-05
2020-02-06,278.3699951171875,280.7099914550781,275.3500061035156,279.4100036621094,270.4377136230469,796200,2020-02-06
2020-02-07,284.4599914550781,284.4599914550781,274.32000732421875,275.510009765625,266.6629333496094,1368200,2020-02-07
2020-02-10,275.5199890136719,276.95001220703125,273.6000061035156,274.8500061035156,266.024169921875,684800,2020-02-10
2020-02-11,275.0,278.0,273.5899963378906,275.75,266.8952331542969,752400,2020-02-11
2020-02-12,275.5199890136719,282.9700012207031,274.989990234375,281.0299987792969,272.00567626953125,891300,2020-02-12
2020-02-13,279.3699951171875,287.2099914550781,279.3699951171875,286.0299987792969,276.8451232910156,520700,2020-02-13
2020-02-14,285.9700012207031,293.1499938964844,284.010009765625,291.6000061035156,282.2362976074219,780600,2020-02-14
2020-02-18,293.239990234375,297.2099914550781,291.8699951171875,295.7799987792969,286.28204345703125,873800,2020-02-18
2020-02-19,297.989990234375,301.7699890136719,295.3900146484375,297.1000061035156,287.5596618652344,1176000,2020-02-19
2020-02-20,362.0299987792969,381.8599853515625,356.9599914550781,373.1600036621094,361.17730712890625,5009700,2020-02-20
2020-02-21,366.010009765625,374.0,362.9700012207031,371.9599914550781,360.01580810546875,1645000,2020-02-21
2020-02-24,355.510009765625,366.8900146484375,354.6300048828125,363.010009765625,351.35321044921875,1221900,2020-02-24
2020-02-25,363.7099914550781,379.5799865722656,363.7099914550781,368.6600036621094,356.82171630859375,2437000,2020-02-25
2020-02-26,371.8699951171875,377.3299865722656,366.3800048828125,366.6700134277344,354.89569091796875,1107200,2020-02-26
2020-02-27,361.04998779296875,361.04998779296875,347.7300109863281,347.8599853515625,336.68963623046875,1090800,2020-02-27
2020-02-28,341.1000061035156,345.7200012207031,333.9100036621094,339.4599914550781,328.5594482421875,2077600,2020-02-28
2020-03-02,340.2200012207031,348.5199890136719,333.7900085449219,347.5199890136719,336.360595703125,863600,2020-03-02
2020-03-03,349.4800109863281,350.0,336.19000244140625,339.4700012207031,328.5691223144531,846700,2020-03-03
2020-03-04,341.95001220703125,345.8599853515625,334.2300109863281,341.8900146484375,330.911376953125,740900,2020-03-04
2020-03-05,338.17999267578125,340.5899963378906,329.1600036621094,333.0299987792969,322.33587646484375,828400,2020-03-05
2020-03-06,325.3599853515625,337.2300109863281,320.75,336.4100036621094,325.60736083984375,853400,2020-03-06
2020-03-09,321.55999755859375,340.17999267578125,314.0,336.6700134277344,325.8590087890625,1267600,2020-03-09
2020-03-10,337.7900085449219,347.32000732421875,328.5,343.95001220703125,332.9052429199219,857100,2020-03-10
2020-03-11,338.29998779296875,344.7200012207031,332.0299987792969,332.6600036621094,321.9778137207031,889500,2020-03-11
2020-03-12,308.0199890136719,329.6199951171875,300.0,317.1099853515625,307.6484680175781,1139300,2020-03-12
2020-03-13,328.3900146484375,329.0799865722656,297.32000732421875,316.6300048828125,307.1827697753906,1208600,2020-03-13
2020-03-16,297.42999267578125,311.5299987792969,283.6000061035156,286.32000732421875,277.7771301269531,1089100,2020-03-16
2020-03-17,291.6400146484375,314.9599914550781,282.0299987792969,298.739990234375,289.8265075683594,1183400,2020-03-17
2020-03-18,296.5400085449219,303.8699951171875,275.2200012207031,290.0,281.3473205566406,1098800,2020-03-18
2020-03-19,292.0,337.2200012207031,289.3399963378906,323.1400146484375,313.4985656738281,1423000,2020-03-19
2020-03-20,326.9100036621094,344.20001220703125,298.1400146484375,299.95001220703125,291.0004577636719,1802800,2020-03-20
2020-03-23,310.9100036621094,336.79998779296875,294.2099914550781,323.8699951171875,314.2066955566406,1340500,2020-03-23
2020-03-24,341.1199951171875,349.0,333.1600036621094,343.55999755859375,333.3093566894531,881100,2020-03-24
2020-03-25,345.4800109863281,349.67999267578125,320.80999755859375,321.45001220703125,311.8590087890625,963100,2020-03-25
2020-03-26,323.5,342.0,317.82000732421875,338.510009765625,328.40997314453125,870600,2020-03-26
2020-03-27,328.8299865722656,341.989990234375,326.05999755859375,338.739990234375,328.633056640625,646200,2020-03-27
