Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,20.0,21.25,19.75,20.0,20.0,160,2020-01-02
2020-01-03,19.75,20.25,19.0,20.25,20.25,988,2020-01-03
2020-01-06,20.25,20.25,19.0,19.0,19.0,292,2020-01-06
2020-01-07,20.0,20.25,19.0,20.0,20.0,856,2020-01-07
2020-01-08,20.25,22.0,18.25,19.5,19.5,9160,2020-01-08
2020-01-09,20.25,21.5,19.75,21.0,21.0,2500,2020-01-09
2020-01-10,21.0,25.75,20.5,23.5,23.5,13628,2020-01-10
2020-01-13,23.5,23.5,20.5,22.0,22.0,5428,2020-01-13
2020-01-14,21.0,22.5,19.75,21.0,21.0,4752,2020-01-14
2020-01-15,21.0,21.5,19.25,20.75,20.75,6592,2020-01-15
2020-01-16,22.5,23.75,20.0,20.5,20.5,21236,2020-01-16
2020-01-17,20.25,20.25,18.25,19.5,19.5,7408,2020-01-17
2020-01-21,19.25,19.5,18.25,19.25,19.25,5184,2020-01-21
2020-01-22,19.25,19.75,18.5,19.5,19.5,3176,2020-01-22
2020-01-23,20.0,20.0,18.25,18.75,18.75,4796,2020-01-23
2020-01-24,18.5,19.5,17.5,18.75,18.75,4500,2020-01-24
2020-01-27,19.5,19.5,15.0,19.0,19.0,1920,2020-01-27
2020-01-28,19.5,20.5,16.25,19.75,19.75,8664,2020-01-28
2020-01-29,20.75,22.25,19.0,19.75,19.75,16544,2020-01-29
2020-01-30,19.5,20.25,17.75,19.0,19.0,7344,2020-01-30
2020-01-31,19.0,19.75,17.75,18.75,18.75,1512,2020-01-31
2020-02-03,18.75,21.0,17.5,20.5,20.5,10876,2020-02-03
2020-02-04,18.0,20.25,17.0,18.5,18.5,16320,2020-02-04
2020-02-05,18.75,21.5,18.0,19.25,19.25,26672,2020-02-05
2020-02-06,27.75,31.25,19.25,21.5,21.5,535264,2020-02-06
2020-02-07,20.0,20.5,18.75,19.5,19.5,36844,2020-02-07
2020-02-10,18.75,19.5,16.25,17.0,17.0,44684,2020-02-10
2020-02-11,17.5,19.0,17.0,18.5,18.5,27976,2020-02-11
2020-02-12,19.25,19.25,17.25,17.5,17.5,18008,2020-02-12
2020-02-13,18.0,18.0,16.25,17.5,17.5,17116,2020-02-13
2020-02-14,17.75,19.0,16.75,17.75,17.75,19344,2020-02-14
2020-02-18,17.5,18.5,17.0,18.0,18.0,17232,2020-02-18
2020-02-19,18.25,18.25,17.5,18.0,18.0,5580,2020-02-19
2020-02-20,17.75,18.25,17.25,17.75,17.75,13024,2020-02-20
2020-02-21,18.25,19.0,17.25,18.25,18.25,27608,2020-02-21
2020-02-24,18.25,18.75,17.75,18.25,18.25,6804,2020-02-24
2020-02-25,18.5,18.5,17.5,17.5,17.5,9208,2020-02-25
2020-02-26,17.5,18.25,16.5,18.0,18.0,16572,2020-02-26
2020-02-27,18.0,19.75,16.75,18.0,18.0,37584,2020-02-27
2020-02-28,18.25,20.0,17.5,18.75,18.75,25028,2020-02-28
2020-03-02,18.25,18.75,17.0,18.25,18.25,10248,2020-03-02
2020-03-03,17.5,18.5,17.5,17.75,17.75,12016,2020-03-03
2020-03-04,18.25,20.0,17.5,18.75,18.75,16960,2020-03-04
2020-03-05,18.75,19.25,17.75,18.75,18.75,14808,2020-03-05
2020-03-06,18.0,19.5,18.0,18.0,18.0,4548,2020-03-06
2020-03-09,18.0,18.25,12.5,16.75,16.75,21000,2020-03-09
2020-03-10,17.25,17.75,16.0,17.0,17.0,5212,2020-03-10
2020-03-11,16.0,17.0,15.0,15.5,15.5,3984,2020-03-11
2020-03-12,15.0,15.5,13.0,15.0,15.0,3628,2020-03-12
2020-03-13,14.75,17.0,14.0,15.0,15.0,2480,2020-03-13
2020-03-16,14.25,14.25,7.75,11.5,11.5,4308,2020-03-16
2020-03-17,11.75,12.5,11.25,12.0,12.0,2180,2020-03-17
2020-03-18,12.5,15.0,10.75,11.5,11.5,1948,2020-03-18
2020-03-19,11.0,11.5,8.25,11.0,11.0,2508,2020-03-19
2020-03-20,11.25,11.25,8.75,10.75,10.75,1844,2020-03-20
2020-03-23,10.25,12.0,9.5,11.75,11.75,2696,2020-03-23
2020-03-24,11.75,12.0,11.25,12.0,12.0,2000,2020-03-24
2020-03-25,11.75,14.25,11.75,13.75,13.75,4520,2020-03-25
2020-03-26,14.5,14.75,12.0,13.75,13.75,2072,2020-03-26
2020-03-27,13.75,14.0,12.75,13.25,13.25,648,2020-03-27
2020-03-30,13.5,13.75,12.25,12.75,12.75,1280,2020-03-30
2020-03-31,12.75,15.5,12.25,13.75,13.75,4796,2020-03-31
2020-04-01,13.75,13.75,12.5,13.0,13.0,1372,2020-04-01
2020-04-02,12.75,15.0,12.0,13.25,13.25,3032,2020-04-02
2020-04-03,12.25,13.75,12.25,12.75,12.75,628,2020-04-03
2020-04-06,13.75,13.75,12.5,13.25,13.25,1372,2020-04-06
2020-04-07,13.75,14.5,13.0,13.5,13.5,1352,2020-04-07
2020-04-08,13.75,13.75,13.25,13.75,13.75,1264,2020-04-08
2020-04-09,13.75,14.25,13.5,14.25,14.25,1236,2020-04-09
2020-04-13,14.5,14.5,13.5,14.25,14.25,844,2020-04-13
2020-04-14,14.75,15.0,13.5,14.0,14.0,1332,2020-04-14
2020-04-15,13.25,14.25,13.0,14.0,14.0,1600,2020-04-15
2020-04-16,14.25,15.0,11.75,14.0,14.0,5660,2020-04-16
2020-04-17,13.75,14.0,12.5,14.0,14.0,3580,2020-04-17
2020-04-20,13.75,13.75,12.5,12.75,12.75,3588,2020-04-20
2020-04-21,13.0,13.0,11.75,12.75,12.75,1620,2020-04-21
2020-04-22,12.75,12.75,12.0,12.75,12.75,1728,2020-04-22
2020-04-23,13.25,13.5,12.25,13.5,13.5,2600,2020-04-23
2020-04-24,13.75,13.75,12.5,12.75,12.75,1660,2020-04-24
2020-04-27,16.25,16.25,12.0,13.25,13.25,55220,2020-04-27
2020-04-28,14.25,14.25,12.5,12.75,12.75,13460,2020-04-28
2020-04-29,12.5,13.0,12.25,12.5,12.5,8656,2020-04-29
2020-04-30,14.0,14.0,11.75,12.5,12.5,10644,2020-04-30
2020-05-01,12.5,13.25,12.0,12.25,12.25,7168,2020-05-01
2020-05-04,12.25,12.5,12.0,12.0,12.0,2824,2020-05-04
2020-05-05,12.5,12.5,12.0,12.0,12.0,4492,2020-05-05
2020-05-06,12.25,12.25,11.5,11.75,11.75,2336,2020-05-06
2020-05-07,12.25,13.25,12.0,12.5,12.5,10272,2020-05-07
2020-05-08,12.25,14.25,12.0,13.0,13.0,12272,2020-05-08
2020-05-11,13.0,13.25,12.5,13.0,13.0,3332,2020-05-11
2020-05-12,13.25,14.75,13.25,14.0,14.0,8552,2020-05-12
2020-05-13,13.75,14.0,12.75,12.75,12.75,2532,2020-05-13
2020-05-14,13.5,13.5,12.0,12.25,12.25,2460,2020-05-14
2020-05-15,12.5,12.75,12.25,12.5,12.5,1172,2020-05-15
2020-05-18,12.5,12.75,12.0,12.5,12.5,1320,2020-05-18
