Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,43.84000015258789,44.27000045776367,43.54999923706055,44.22999954223633,39.756797790527344,149100,2020-01-02
2020-01-03,43.72999954223633,44.630001068115234,43.70000076293945,44.47999954223633,39.981502532958984,191500,2020-01-03
2020-01-06,43.970001220703125,44.349998474121094,43.560001373291016,44.16999816894531,39.70285415649414,157200,2020-01-06
2020-01-07,44.029998779296875,44.20000076293945,43.34000015258789,43.369998931884766,38.983768463134766,160600,2020-01-07
2020-01-08,43.36000061035156,43.970001220703125,43.36000061035156,43.56999969482422,39.163536071777344,134800,2020-01-08
2020-01-09,43.790000915527344,44.119998931884766,43.65999984741211,43.70000076293945,39.280391693115234,124300,2020-01-09
2020-01-10,43.63999938964844,43.650001525878906,42.97999954223633,43.150001525878906,38.786014556884766,93300,2020-01-10
2020-01-13,43.04999923706055,43.189998626708984,42.83000183105469,43.16999816894531,38.80400085449219,86900,2020-01-13
2020-01-14,43.25,43.81999969482422,42.970001220703125,43.709999084472656,39.28937911987305,124800,2020-01-14
2020-01-15,43.4900016784668,43.959999084472656,43.18000030517578,43.4900016784668,39.09163284301758,121600,2020-01-15
2020-01-16,43.779998779296875,44.52000045776367,43.63999938964844,44.369998931884766,39.88262939453125,95500,2020-01-16
2020-01-17,44.79999923706055,45.13999938964844,44.34000015258789,44.61000061035156,40.098358154296875,109600,2020-01-17
2020-01-21,44.38999938964844,44.83000183105469,44.04999923706055,44.189998626708984,39.7208366394043,98200,2020-01-21
2020-01-22,44.310001373291016,44.61000061035156,44.189998626708984,44.369998931884766,39.88262939453125,80400,2020-01-22
2020-01-23,44.18000030517578,44.33000183105469,43.72999954223633,44.33000183105469,39.8466796875,196100,2020-01-23
2020-01-24,44.33000183105469,44.33000183105469,43.099998474121094,43.36000061035156,38.97478103637695,101200,2020-01-24
2020-01-27,42.70000076293945,43.41999816894531,42.70000076293945,43.060001373291016,38.70512390136719,102400,2020-01-27
2020-01-28,43.279998779296875,43.79999923706055,43.279998779296875,43.52000045776367,39.11859893798828,109400,2020-01-28
2020-01-29,43.470001220703125,43.9900016784668,43.27000045776367,43.56999969482422,39.163536071777344,150300,2020-01-29
2020-01-30,43.25,43.72999954223633,43.0,43.66999816894531,39.253421783447266,111100,2020-01-30
2020-01-31,43.310001373291016,43.61000061035156,42.93000030517578,43.0099983215332,38.66017532348633,150300,2020-01-31
2020-02-03,43.38999938964844,43.81999969482422,43.20000076293945,43.4900016784668,39.09163284301758,157600,2020-02-03
2020-02-04,43.880001068115234,44.150001525878906,43.689998626708984,43.900001525878906,39.460166931152344,114900,2020-02-04
2020-02-05,44.439998626708984,45.2400016784668,44.2400016784668,45.220001220703125,40.64667510986328,145700,2020-02-05
2020-02-06,45.81999969482422,46.22999954223633,45.0,45.65999984741211,41.04216384887695,208500,2020-02-06
2020-02-07,45.47999954223633,45.47999954223633,43.83000183105469,43.9900016784668,39.54106903076172,144900,2020-02-07
2020-02-10,43.84000015258789,44.13999938964844,43.41999816894531,43.77000045776367,39.34331130981445,125700,2020-02-10
2020-02-11,43.93000030517578,44.220001220703125,43.75,44.02000045776367,39.56803512573242,98800,2020-02-11
2020-02-12,44.25,44.25,43.540000915527344,43.83000183105469,39.397247314453125,145400,2020-02-12
2020-02-13,43.70000076293945,44.91999816894531,43.70000076293945,44.79999923706055,40.269142150878906,338200,2020-02-13
2020-02-14,44.90999984741211,45.63999938964844,44.810001373291016,45.540000915527344,40.93430709838867,167600,2020-02-14
2020-02-18,45.529998779296875,46.09000015258789,45.0,45.18000030517578,40.6107177734375,231900,2020-02-18
2020-02-19,45.16999816894531,45.529998779296875,44.869998931884766,45.16999816894531,40.60172653198242,169500,2020-02-19
2020-02-20,44.959999084472656,45.59000015258789,44.77000045776367,45.27000045776367,40.69160842895508,150800,2020-02-20
2020-02-21,45.2599983215332,45.27000045776367,44.790000915527344,45.13999938964844,40.57475662231445,183400,2020-02-21
2020-02-24,44.150001525878906,44.560001373291016,43.7400016784668,44.130001068115234,39.666908264160156,119500,2020-02-24
2020-02-25,44.08000183105469,44.119998931884766,42.61000061035156,42.7599983215332,38.435455322265625,144200,2020-02-25
2020-02-26,43.0099983215332,43.33000183105469,42.380001068115234,42.54999923706055,38.246700286865234,130600,2020-02-26
2020-02-27,41.70000076293945,42.70000076293945,40.880001068115234,40.90999984741211,36.772560119628906,229100,2020-02-27
2020-02-28,39.97999954223633,40.040000915527344,38.45000076293945,38.93000030517578,34.99281311035156,297100,2020-02-28
2020-03-02,38.93000030517578,41.13999938964844,38.810001373291016,41.099998474121094,36.94334030151367,170100,2020-03-02
2020-03-03,40.97999954223633,41.65999984741211,39.630001068115234,39.84000015258789,35.81077575683594,190900,2020-03-03
2020-03-04,40.56999969482422,41.9900016784668,40.119998931884766,41.83000183105469,37.59952163696289,190200,2020-03-04
2020-03-05,40.43000030517578,41.08000183105469,39.4900016784668,40.33000183105469,36.25122833251953,351300,2020-03-05
2020-03-06,39.34000015258789,41.02000045776367,39.34000015258789,40.86000061035156,36.72761917114258,290000,2020-03-06
2020-03-09,38.099998474121094,40.459999084472656,38.02000045776367,40.29999923706055,36.22425079345703,354900,2020-03-09
2020-03-10,41.400001525878906,41.68000030517578,38.599998474121094,40.81999969482422,36.6916618347168,242200,2020-03-10
2020-03-11,39.58000183105469,40.22999954223633,38.31999969482422,38.709999084472656,34.79505920410156,199900,2020-03-11
2020-03-12,35.650001525878906,36.20000076293945,33.68000030517578,34.400001525878906,30.92095184326172,290000,2020-03-12
2020-03-13,36.2400016784668,38.95000076293945,34.86000061035156,38.81999969482422,34.89393615722656,312000,2020-03-13
2020-03-16,34.36000061035156,35.97999954223633,33.08000183105469,33.220001220703125,30.092849731445312,342200,2020-03-16
2020-03-17,33.810001373291016,38.029998779296875,31.809999465942383,37.7400016784668,34.187355041503906,426500,2020-03-17
2020-03-18,35.630001068115234,37.459999084472656,31.780000686645508,33.31999969482422,30.183433532714844,302300,2020-03-18
2020-03-19,32.81999969482422,35.310001373291016,31.799999237060547,32.41999816894531,29.368152618408203,374800,2020-03-19
2020-03-20,31.729999542236328,34.68000030517578,31.040000915527344,33.279998779296875,30.14719581604004,513000,2020-03-20
2020-03-23,33.15999984741211,33.9900016784668,30.610000610351562,31.399999618530273,28.444171905517578,330600,2020-03-23
2020-03-24,33.0,35.61000061035156,32.4900016784668,34.66999816894531,31.406347274780273,291400,2020-03-24
2020-03-25,34.599998474121094,35.150001525878906,32.290000915527344,32.93000030517578,29.830150604248047,281100,2020-03-25
2020-03-26,32.97999954223633,36.09000015258789,32.650001525878906,34.47999954223633,31.234243392944336,255900,2020-03-26
2020-03-27,33.0,35.06999969482422,32.599998474121094,33.689998626708984,30.518604278564453,196600,2020-03-27
2020-03-30,34.0,35.369998931884766,33.369998931884766,35.06999969482422,31.768701553344727,227400,2020-03-30
2020-03-31,34.619998931884766,36.63999938964844,34.619998931884766,36.59000015258789,33.14561080932617,321000,2020-03-31
2020-04-01,34.95000076293945,35.54999923706055,33.150001525878906,33.7599983215332,30.582015991210938,284100,2020-04-01
2020-04-02,33.439998626708984,34.27000045776367,31.84000015258789,32.720001220703125,29.639915466308594,380600,2020-04-02
2020-04-03,32.119998931884766,32.869998931884766,30.780000686645508,31.299999237060547,28.353586196899414,189800,2020-04-03
2020-04-06,32.7400016784668,33.459999084472656,32.369998931884766,32.88999938964844,29.793909072875977,256600,2020-04-06
2020-04-07,33.65999984741211,34.38999938964844,31.780000686645508,31.84000015258789,28.84275245666504,218300,2020-04-07
2020-04-08,32.349998474121094,32.849998474121094,31.739999771118164,32.29999923706055,29.259449005126953,198100,2020-04-08
2020-04-09,33.16999816894531,36.709999084472656,32.869998931884766,36.220001220703125,32.810447692871094,236000,2020-04-09
2020-04-13,35.75,36.54999923706055,34.150001525878906,35.209999084472656,31.895517349243164,164900,2020-04-13
2020-04-14,35.959999084472656,36.880001068115234,34.790000915527344,35.04999923706055,31.750581741333008,137000,2020-04-14
2020-04-15,33.63999938964844,34.040000915527344,33.04999923706055,33.58000183105469,30.418960571289062,185900,2020-04-15
2020-04-16,33.70000076293945,34.310001373291016,32.33000183105469,33.40999984741211,30.26495933532715,201700,2020-04-16
2020-04-17,33.54999923706055,34.900001525878906,33.54999923706055,34.56999969482422,31.315765380859375,151400,2020-04-17
2020-04-20,33.95000076293945,36.27000045776367,33.45000076293945,34.290000915527344,31.06212043762207,166900,2020-04-20
2020-04-21,33.119998931884766,33.849998474121094,32.5099983215332,33.31999969482422,30.183433532714844,164000,2020-04-21
2020-04-22,33.7599983215332,33.88999938964844,33.09000015258789,33.54999923706055,30.39178466796875,144200,2020-04-22
2020-04-23,33.400001525878906,33.81999969482422,32.95000076293945,33.27000045776367,30.13813591003418,138500,2020-04-23
2020-04-24,33.7599983215332,34.58000183105469,33.380001068115234,34.27000045776367,31.044010162353516,147700,2020-04-24
2020-04-27,34.150001525878906,35.88999938964844,34.150001525878906,35.54999923706055,32.2035026550293,159300,2020-04-27
2020-04-28,36.75,36.869998931884766,35.86000061035156,36.18000030517578,32.77421188354492,231200,2020-04-28
2020-04-29,37.59000015258789,38.31999969482422,36.310001373291016,37.599998474121094,34.06053161621094,240300,2020-04-29
2020-04-30,36.529998779296875,36.63999938964844,35.15999984741211,35.15999984741211,31.8502254486084,223100,2020-04-30
2020-05-01,34.15999984741211,34.529998779296875,33.04999923706055,34.06999969482422,30.86283302307129,205700,2020-05-01
2020-05-04,33.470001220703125,33.810001373291016,33.029998779296875,33.63999938964844,30.47330665588379,167100,2020-05-04
2020-05-05,34.18000030517578,34.540000915527344,33.290000915527344,33.40999984741211,30.26495933532715,141500,2020-05-05
