Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,122.22000122070312,138.60000610351562,122.22000122070312,136.0800018310547,136.0800018310547,1486,2020-01-02
2020-01-03,136.0800018310547,156.60000610351562,136.0800018310547,148.5,148.5,3226,2020-01-03
2020-01-06,153.0,153.0,135.0,138.60000610351562,138.60000610351562,1781,2020-01-06
2020-01-07,141.3000030517578,142.1999969482422,127.80000305175781,135.5399932861328,135.5399932861328,2088,2020-01-07
2020-01-08,131.39999389648438,135.0,126.0,129.60000610351562,129.60000610351562,1287,2020-01-08
2020-01-09,127.9800033569336,129.60000610351562,122.4000015258789,127.26000213623047,127.26000213623047,1717,2020-01-09
2020-01-10,129.60000610351562,143.10000610351562,126.0,143.10000610351562,143.10000610351562,3736,2020-01-10
2020-01-13,144.0,144.0,127.9800033569336,131.39999389648438,131.39999389648438,1558,2020-01-13
2020-01-14,129.60000610351562,131.39999389648438,124.0199966430664,124.0199966430664,124.0199966430664,1633,2020-01-14
2020-01-15,126.0,126.0,118.80000305175781,119.87999725341797,119.87999725341797,2074,2020-01-15
2020-01-16,120.5999984741211,122.4000015258789,117.0,120.5999984741211,120.5999984741211,2070,2020-01-16
2020-01-17,122.4000015258789,124.19999694824219,117.0,118.44000244140625,118.44000244140625,1537,2020-01-17
2020-01-21,118.80000305175781,118.80000305175781,108.0,111.5999984741211,111.5999984741211,3025,2020-01-21
2020-01-22,111.5999984741211,111.5999984741211,108.0,109.62000274658203,109.62000274658203,2031,2020-01-22
2020-01-23,111.5999984741211,119.69999694824219,102.5999984741211,118.62000274658203,118.62000274658203,20347,2020-01-23
2020-01-24,119.16000366210938,120.5999984741211,108.0,111.05999755859375,111.05999755859375,4597,2020-01-24
2020-01-27,111.5999984741211,111.5999984741211,99.0,104.94000244140625,104.94000244140625,5470,2020-01-27
2020-01-28,108.0,108.9000015258789,101.16000366210938,103.31999969482422,103.31999969482422,1619,2020-01-28
2020-01-29,103.5,103.5,101.16000366210938,101.69999694824219,101.69999694824219,1358,2020-01-29
2020-01-30,102.5999984741211,102.5999984741211,101.16000366210938,101.16000366210938,101.16000366210938,1516,2020-01-30
2020-01-31,101.16000366210938,107.0999984741211,100.08000183105469,100.08000183105469,100.08000183105469,2386,2020-01-31
2020-02-03,100.44000244140625,102.5999984741211,99.9000015258789,101.16000366210938,101.16000366210938,934,2020-02-03
2020-02-04,101.16000366210938,108.0,101.16000366210938,101.16000366210938,101.16000366210938,2441,2020-02-04
2020-02-05,108.0,109.80000305175781,101.33999633789062,107.27999877929688,107.27999877929688,2891,2020-02-05
2020-02-06,107.45999908447266,108.0,100.80000305175781,104.4000015258789,104.4000015258789,2103,2020-02-06
2020-02-07,108.0,108.0,100.80000305175781,101.87999725341797,101.87999725341797,1279,2020-02-07
2020-02-10,106.19999694824219,106.19999694824219,100.80000305175781,104.4000015258789,104.4000015258789,1026,2020-02-10
2020-02-11,104.4000015258789,110.69999694824219,101.16000366210938,109.80000305175781,109.80000305175781,3697,2020-02-11
2020-02-12,109.62000274658203,112.5,106.55999755859375,108.9000015258789,108.9000015258789,2211,2020-02-12
2020-02-13,106.19999694824219,108.0,97.19999694824219,100.80000305175781,100.80000305175781,3252,2020-02-13
2020-02-14,104.04000091552734,104.04000091552734,97.19999694824219,99.0,99.0,2172,2020-02-14
2020-02-18,100.9800033569336,108.0,99.0,107.27999877929688,107.27999877929688,2914,2020-02-18
2020-02-19,105.30000305175781,108.0,105.30000305175781,108.0,108.0,581,2020-02-19
2020-02-20,108.0,115.19999694824219,106.19999694824219,110.87999725341797,110.87999725341797,2680,2020-02-20
2020-02-21,108.36000061035156,113.76000213623047,106.55999755859375,110.5199966430664,110.5199966430664,823,2020-02-21
2020-02-24,106.19999694824219,109.80000305175781,100.80000305175781,109.08000183105469,109.08000183105469,1005,2020-02-24
