Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,32.400001525878906,32.900001525878906,32.0,32.400001525878906,32.400001525878906,5690,2020-01-02
2020-01-03,32.5,33.099998474121094,32.29999923706055,32.900001525878906,32.900001525878906,7730,2020-01-03
2020-01-06,32.900001525878906,33.5,32.599998474121094,33.0,33.0,6530,2020-01-06
2020-01-07,33.099998474121094,33.79999923706055,32.900001525878906,33.099998474121094,33.099998474121094,8940,2020-01-07
2020-01-08,33.099998474121094,33.5,32.599998474121094,32.79999923706055,32.79999923706055,4260,2020-01-08
2020-01-09,32.599998474121094,33.29999923706055,32.0,32.400001525878906,32.400001525878906,9230,2020-01-09
2020-01-10,32.400001525878906,33.79999923706055,32.400001525878906,33.0,33.0,7540,2020-01-10
2020-01-13,33.0,33.900001525878906,32.599998474121094,33.0,33.0,15720,2020-01-13
2020-01-14,32.79999923706055,33.79999923706055,32.599998474121094,33.099998474121094,33.099998474121094,9490,2020-01-14
2020-01-15,33.5,34.5,32.599998474121094,33.099998474121094,33.099998474121094,9340,2020-01-15
2020-01-16,32.900001525878906,38.5,32.900001525878906,35.79999923706055,35.79999923706055,134330,2020-01-16
2020-01-17,38.0,38.5,36.400001525878906,37.400001525878906,37.400001525878906,53450,2020-01-17
2020-01-21,38.099998474121094,39.29999923706055,36.20000076293945,36.900001525878906,36.900001525878906,52200,2020-01-21
2020-01-22,36.79999923706055,37.29999923706055,35.099998474121094,36.20000076293945,36.20000076293945,30470,2020-01-22
2020-01-23,36.0,36.29999923706055,34.5,36.0,36.0,15360,2020-01-23
2020-01-24,35.79999923706055,36.5,34.0,35.599998474121094,35.599998474121094,27450,2020-01-24
2020-01-27,35.5,35.79999923706055,30.100000381469727,30.100000381469727,30.100000381469727,31790,2020-01-27
2020-01-28,30.299999237060547,35.5,30.299999237060547,34.099998474121094,34.099998474121094,30910,2020-01-28
2020-01-29,34.900001525878906,35.79999923706055,32.79999923706055,34.70000076293945,34.70000076293945,37950,2020-01-29
2020-01-30,34.0,36.70000076293945,34.0,35.29999923706055,35.29999923706055,32750,2020-01-30
2020-01-31,35.099998474121094,37.400001525878906,35.099998474121094,37.20000076293945,37.20000076293945,17950,2020-01-31
2020-02-03,36.5,39.5,36.099998474121094,39.099998474121094,39.099998474121094,23480,2020-02-03
2020-02-04,38.900001525878906,41.099998474121094,36.900001525878906,36.900001525878906,36.900001525878906,48850,2020-02-04
2020-02-05,36.599998474121094,38.0,34.599998474121094,34.900001525878906,34.900001525878906,31030,2020-02-05
2020-02-06,34.79999923706055,36.599998474121094,34.79999923706055,35.5,35.5,8770,2020-02-06
2020-02-07,35.099998474121094,38.5,34.75,38.20000076293945,38.20000076293945,24540,2020-02-07
2020-02-10,38.0,38.70000076293945,35.400001525878906,37.79999923706055,37.79999923706055,15620,2020-02-10
2020-02-11,37.599998474121094,39.0,37.16999816894531,37.70000076293945,37.70000076293945,11790,2020-02-11
2020-02-12,37.599998474121094,38.5,37.0,37.20000076293945,37.20000076293945,6750,2020-02-12
2020-02-13,37.599998474121094,37.599998474121094,35.5,36.599998474121094,36.599998474121094,15130,2020-02-13
2020-02-14,36.599998474121094,37.400001525878906,35.79999923706055,36.79999923706055,36.79999923706055,14110,2020-02-14
2020-02-18,36.79999923706055,39.04999923706055,36.29999923706055,38.79999923706055,38.79999923706055,27010,2020-02-18
2020-02-19,38.900001525878906,43.0,37.599998474121094,43.0,43.0,66240,2020-02-19
2020-02-20,42.599998474121094,46.0,42.20000076293945,45.0,45.0,40680,2020-02-20
2020-02-21,46.5,46.5,42.20000076293945,43.400001525878906,43.400001525878906,19450,2020-02-21
2020-02-24,42.900001525878906,45.0,41.5,45.0,45.0,13390,2020-02-24
2020-02-25,47.0,47.0,44.79999923706055,45.099998474121094,45.099998474121094,16330,2020-02-25
2020-02-26,44.70000076293945,47.900001525878906,44.0,46.599998474121094,46.599998474121094,21710,2020-02-26
2020-02-27,47.0,48.79999923706055,46.0,47.900001525878906,47.900001525878906,25720,2020-02-27
2020-02-28,48.29999923706055,51.79999923706055,48.0,51.79999923706055,51.79999923706055,36310,2020-02-28
2020-03-02,52.5,54.900001525878906,42.70000076293945,45.29999923706055,45.29999923706055,46060,2020-03-02
2020-03-03,45.5,48.29999923706055,45.5,47.79999923706055,47.79999923706055,21220,2020-03-03
2020-03-04,47.79999923706055,49.20000076293945,44.400001525878906,45.099998474121094,45.099998474121094,32370,2020-03-04
2020-03-05,46.0,52.0,45.099998474121094,49.79999923706055,49.79999923706055,45220,2020-03-05
2020-03-06,50.20000076293945,50.79999923706055,48.130001068115234,49.599998474121094,49.599998474121094,26540,2020-03-06
2020-03-09,47.400001525878906,49.5,47.040000915527344,48.5,48.5,40530,2020-03-09
2020-03-10,48.5,51.900001525878906,47.20000076293945,51.29999923706055,51.29999923706055,53110,2020-03-10
2020-03-11,51.400001525878906,51.79999923706055,48.599998474121094,49.900001525878906,49.900001525878906,63290,2020-03-11
2020-03-12,48.20000076293945,49.0,46.0,46.599998474121094,46.599998474121094,71950,2020-03-12
2020-03-13,47.400001525878906,50.70000076293945,46.0,48.400001525878906,48.400001525878906,46360,2020-03-13
2020-03-16,47.0,47.79999923706055,46.09000015258789,47.20000076293945,47.20000076293945,32670,2020-03-16
2020-03-17,46.599998474121094,48.0,43.099998474121094,47.5,47.5,52850,2020-03-17
2020-03-18,46.79999923706055,47.5,45.29999923706055,46.5,46.5,20480,2020-03-18
2020-03-19,46.0,46.70000076293945,42.29999923706055,43.5,43.5,46570,2020-03-19
2020-03-20,44.0,44.0,41.20000076293945,42.400001525878906,42.400001525878906,42800,2020-03-20
2020-03-23,42.70000076293945,42.70000076293945,38.54999923706055,39.599998474121094,39.599998474121094,38770,2020-03-23
2020-03-24,41.0,42.5,40.79999923706055,42.5,42.5,31560,2020-03-24
2020-03-25,42.5,45.900001525878906,42.0,45.400001525878906,45.400001525878906,26760,2020-03-25
2020-03-26,45.5,46.400001525878906,43.970001220703125,44.900001525878906,44.900001525878906,34240,2020-03-26
2020-03-27,45.0,45.79999923706055,43.29999923706055,44.599998474121094,44.599998474121094,21840,2020-03-27
2020-03-30,44.0,45.5,44.0,44.79999923706055,44.79999923706055,22950,2020-03-30
2020-03-31,44.0,47.599998474121094,43.5,47.20000076293945,47.20000076293945,37750,2020-03-31
2020-04-01,47.20000076293945,47.29999923706055,44.0,45.400001525878906,45.400001525878906,21740,2020-04-01
2020-04-02,45.29999923706055,46.70000076293945,43.599998474121094,44.29999923706055,44.29999923706055,19140,2020-04-02
2020-04-03,44.900001525878906,45.5,42.5,45.5,45.5,19840,2020-04-03
2020-04-06,45.5,46.0,43.599998474121094,44.099998474121094,44.099998474121094,19470,2020-04-06
2020-04-07,44.70000076293945,44.79999923706055,43.29999923706055,44.79999923706055,44.79999923706055,17700,2020-04-07
2020-04-08,44.70000076293945,45.900001525878906,43.099998474121094,44.099998474121094,44.099998474121094,16860,2020-04-08
2020-04-09,45.79999923706055,45.79999923706055,43.099998474121094,44.400001525878906,44.400001525878906,18210,2020-04-09
2020-04-13,45.0,45.0,42.84000015258789,43.900001525878906,43.900001525878906,16680,2020-04-13
2020-04-14,44.0,44.599998474121094,41.400001525878906,42.20000076293945,42.20000076293945,22800,2020-04-14
2020-04-15,43.0,44.70000076293945,41.599998474121094,44.0,44.0,32580,2020-04-15
2020-04-16,44.0,47.0,44.0,47.0,47.0,55320,2020-04-16
2020-04-17,47.0,47.0,44.900001525878906,45.400001525878906,45.400001525878906,40910,2020-04-17
2020-04-20,45.599998474121094,46.79999923706055,44.599998474121094,44.79999923706055,44.79999923706055,27440,2020-04-20
2020-04-21,44.900001525878906,45.0,44.099998474121094,45.0,45.0,10880,2020-04-21
2020-04-22,45.5,45.540000915527344,44.400001525878906,45.099998474121094,45.099998474121094,10140,2020-04-22
2020-04-23,44.900001525878906,45.349998474121094,42.599998474121094,44.5,44.5,12230,2020-04-23
2020-04-24,44.0,44.29999923706055,43.099998474121094,43.70000076293945,43.70000076293945,16830,2020-04-24
2020-04-27,43.29999923706055,45.0,43.29999923706055,44.0,44.0,32950,2020-04-27
2020-04-28,44.5,44.5,43.599998474121094,43.70000076293945,43.70000076293945,13510,2020-04-28
2020-04-29,43.79999923706055,44.099998474121094,43.0,43.0,43.0,9050,2020-04-29
2020-04-30,42.79999923706055,44.20000076293945,42.79999923706055,43.70000076293945,43.70000076293945,11410,2020-04-30
2020-05-01,43.20000076293945,44.900001525878906,43.20000076293945,44.5,44.5,32220,2020-05-01
2020-05-04,44.79999923706055,45.5,44.369998931884766,45.20000076293945,45.20000076293945,30650,2020-05-04
2020-05-05,45.29999923706055,45.5,44.400001525878906,45.5,45.5,24020,2020-05-05
2020-05-06,45.20000076293945,46.400001525878906,44.5,46.099998474121094,46.099998474121094,35810,2020-05-06
2020-05-07,46.5,47.099998474121094,45.5,46.599998474121094,46.599998474121094,41630,2020-05-07
