Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,326.20001220703125,330.3999938964844,298.20001220703125,305.20001220703125,74.2814712524414,19764,2020-01-02
2020-01-03,299.6000061035156,329.0,291.20001220703125,323.3999938964844,78.71109771728516,32656,2020-01-03
2020-01-06,316.3999938964844,330.3999938964844,309.3999938964844,323.3999938964844,78.71109771728516,15240,2020-01-06
2020-01-07,322.0,327.6000061035156,312.20001220703125,315.0,76.66665649414062,18994,2020-01-07
2020-01-08,310.79998779296875,323.3999938964844,284.20001220703125,294.0,71.5555419921875,27014,2020-01-08
2020-01-09,295.3999938964844,303.79998779296875,261.79998779296875,291.20001220703125,70.87406921386719,31806,2020-01-09
2020-01-10,287.0,288.3999938964844,261.79998779296875,264.6000061035156,64.39999389648438,22184,2020-01-10
2020-01-13,280.0,296.79998779296875,273.0,285.6000061035156,69.51110076904297,29354,2020-01-13
2020-01-14,285.6000061035156,292.17999267578125,271.6000061035156,271.6000061035156,66.10369873046875,16881,2020-01-14
2020-01-15,274.3999938964844,277.20001220703125,259.0,261.79998779296875,63.718505859375,15709,2020-01-15
2020-01-16,266.0,281.3999938964844,264.6000061035156,270.20001220703125,65.76295471191406,12841,2020-01-16
2020-01-17,275.79998779296875,280.0,266.0,274.3999938964844,66.78517150878906,14061,2020-01-17
2020-01-21,280.0,281.3999938964844,267.3999938964844,267.3999938964844,65.08147430419922,13517,2020-01-21
2020-01-22,280.0,288.3999938964844,260.3999938964844,263.8999938964844,64.22962188720703,18349,2020-01-22
2020-01-23,264.6000061035156,266.0,253.39999389648438,261.79998779296875,63.718505859375,11695,2020-01-23
2020-01-24,264.6000061035156,267.3999938964844,242.1999969482422,245.0,59.62961959838867,13779,2020-01-24
2020-01-27,232.39999389648438,246.39999389648438,222.60000610351562,238.0,57.92591857910156,9819,2020-01-27
2020-01-28,238.0,247.8000030517578,235.33999633789062,246.39999389648438,59.970359802246094,5584,2020-01-28
2020-01-29,246.39999389648438,247.8000030517578,238.0,245.0,59.62961959838867,4001,2020-01-29
2020-01-30,245.0,252.0,235.1999969482422,236.60000610351562,57.58517837524414,9406,2020-01-30
2020-01-31,235.1999969482422,236.60000610351562,222.60000610351562,233.8000030517578,56.9036979675293,6787,2020-01-31
2020-02-03,232.39999389648438,263.20001220703125,231.13999938964844,259.0,63.03702926635742,9164,2020-02-03
2020-02-04,260.3999938964844,261.79998779296875,238.0,247.8000030517578,60.31110382080078,6339,2020-02-04
2020-02-05,242.1999969482422,257.6000061035156,239.39999389648438,242.1999969482422,58.94813919067383,7042,2020-02-05
2020-02-06,240.8000030517578,247.8000030517578,235.1999969482422,242.1999969482422,58.94813919067383,4926,2020-02-06
2020-02-07,238.0,245.0,233.8000030517578,236.60000610351562,57.58517837524414,6884,2020-02-07
2020-02-10,238.0,239.39999389648438,224.0,226.8000030517578,55.19999313354492,8684,2020-02-10
2020-02-11,225.39999389648438,233.8000030517578,214.1999969482422,229.60000610351562,55.881473541259766,7586,2020-02-11
2020-02-12,232.39999389648438,236.60000610351562,225.39999389648438,232.39999389648438,56.56295394897461,4624,2020-02-12
2020-02-13,232.39999389648438,233.8000030517578,224.0,231.0,56.22221374511719,3141,2020-02-13
2020-02-14,232.39999389648438,245.0,228.1999969482422,239.39999389648438,58.266658782958984,5418,2020-02-14
2020-02-18,240.8000030517578,243.60000610351562,231.0,238.0,57.92591857910156,4099,2020-02-18
2020-02-19,236.60000610351562,247.8000030517578,231.0,240.8000030517578,58.607398986816406,6634,2020-02-19
2020-02-20,245.0,291.20001220703125,245.0,277.20001220703125,67.46665954589844,34741,2020-02-20
2020-02-21,284.20001220703125,308.0,266.0,280.0,68.14813995361328,21326,2020-02-21
2020-02-24,273.0,280.0,253.39999389648438,270.20001220703125,65.76295471191406,14881,2020-02-24
2020-02-25,271.6000061035156,275.79998779296875,245.0,253.39999389648438,61.67406463623047,12067,2020-02-25
2020-02-26,252.0,252.0,226.8000030517578,233.8000030517578,56.9036979675293,12329,2020-02-26
2020-02-27,224.0,233.8000030517578,210.0,215.60000610351562,52.47406768798828,12346,2020-02-27
2020-02-28,211.39999389648438,222.60000610351562,196.0,218.39999389648438,53.155548095703125,11560,2020-02-28
2020-03-02,228.1999969482422,236.60000610351562,214.1999969482422,219.8000030517578,53.49628829956055,8047,2020-03-02
2020-03-03,228.1999969482422,242.1999969482422,219.8000030517578,232.39999389648438,56.56295394897461,8018,2020-03-03
2020-03-04,236.60000610351562,242.89999389648438,226.8000030517578,228.1999969482422,55.540733337402344,5983,2020-03-04
2020-03-05,228.1999969482422,235.1999969482422,219.8000030517578,222.60000610351562,54.177772521972656,5130,2020-03-05
