Date,Open,High,Low,Close,Adj Close,Volume,Date
2021-04-27,12.35200023651123,12.35200023651123,8.800000190734863,9.03600025177002,9.03600025177002,774025,2021-04-27
2021-04-28,9.119999885559082,9.279999732971191,8.800000190734863,8.960000038146973,8.960000038146973,192450,2021-04-28
2021-04-29,9.319999694824219,9.640000343322754,8.920000076293945,9.4399995803833,9.4399995803833,201625,2021-04-29
2021-04-30,9.359999656677246,9.4399995803833,8.968000411987305,9.039999961853027,9.039999961853027,63600,2021-04-30
2021-05-03,9.119999885559082,9.119999885559082,8.640000343322754,8.760000228881836,8.760000228881836,75000,2021-05-03
2021-05-04,8.4399995803833,8.760000228881836,8.076000213623047,8.319999694824219,8.319999694824219,140150,2021-05-04
2021-05-05,8.0,8.199999809265137,7.440000057220459,7.599999904632568,7.599999904632568,97825,2021-05-05
2021-05-06,7.71999979019165,7.872000217437744,7.368000030517578,7.519999980926514,7.519999980926514,29400,2021-05-06
2021-05-07,7.679999828338623,8.880000114440918,7.519999980926514,8.520000457763672,8.520000457763672,1005400,2021-05-07
2021-05-10,10.079999923706055,19.559999465942383,9.880000114440918,13.079999923706055,13.079999923706055,31341875,2021-05-10
2021-05-11,15.720000267028809,16.799999237060547,12.399999618530273,13.880000114440918,13.880000114440918,8068325,2021-05-11
2021-05-12,12.923999786376953,13.760000228881836,11.600000381469727,12.0,12.0,746675,2021-05-12
2021-05-13,12.199999809265137,12.399999618530273,9.199999809265137,9.359999656677246,9.359999656677246,393075,2021-05-13
2021-05-14,9.119999885559082,9.359999656677246,8.079999923706055,8.760000228881836,8.760000228881836,393850,2021-05-14
2021-05-17,8.680000305175781,8.680000305175781,8.199999809265137,8.239999771118164,8.239999771118164,116450,2021-05-17
2021-05-18,8.15999984741211,8.920000076293945,8.079999923706055,8.600000381469727,8.600000381469727,329650,2021-05-18
2021-05-19,8.5600004196167,8.5600004196167,8.0,8.319999694824219,8.319999694824219,133300,2021-05-19
2021-05-20,8.5600004196167,9.0,8.4399995803833,8.720000267028809,8.720000267028809,105625,2021-05-20
