Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,385.0,405.0,380.0,395.0,395.0,390,2020-01-02
2020-01-03,395.0,490.0,395.0,480.0,480.0,2649,2020-01-03
2020-01-06,530.0,575.0,475.0,475.0,475.0,2545,2020-01-06
2020-01-07,460.0,480.0,450.0,465.0,465.0,817,2020-01-07
2020-01-08,475.0,475.0,430.0,440.0,440.0,510,2020-01-08
2020-01-09,450.0,490.0,450.0,455.0,455.0,418,2020-01-09
2020-01-10,465.0,465.0,445.0,455.0,455.0,420,2020-01-10
2020-01-13,455.0,470.0,425.0,425.0,425.0,519,2020-01-13
2020-01-14,430.0,430.0,410.0,430.0,430.0,473,2020-01-14
2020-01-15,420.0,445.0,405.0,445.0,445.0,500,2020-01-15
2020-01-16,435.0,480.0,420.0,475.0,475.0,1085,2020-01-16
2020-01-17,465.0,490.0,450.0,475.0,475.0,731,2020-01-17
2020-01-21,475.0,490.0,440.0,450.0,450.0,519,2020-01-21
2020-01-22,410.0,420.0,395.0,405.0,405.0,1394,2020-01-22
2020-01-23,400.0,405.0,370.0,375.0,375.0,1644,2020-01-23
2020-01-24,385.0,385.0,335.0,340.0,340.0,1313,2020-01-24
2020-01-27,350.0,350.0,330.0,335.0,335.0,654,2020-01-27
2020-01-28,330.0,350.0,325.0,335.0,335.0,536,2020-01-28
2020-01-29,335.0,375.0,330.0,355.0,355.0,1151,2020-01-29
2020-01-30,360.0,365.0,340.0,340.0,340.0,272,2020-01-30
2020-01-31,350.0,350.0,325.0,335.0,335.0,527,2020-01-31
2020-02-03,340.0,360.0,335.0,340.0,340.0,494,2020-02-03
2020-02-04,335.0,350.0,335.0,350.0,350.0,241,2020-02-04
2020-02-05,350.0,350.0,340.0,350.0,350.0,225,2020-02-05
2020-02-06,345.0,375.0,340.0,350.0,350.0,724,2020-02-06
2020-02-07,340.0,350.0,335.0,345.0,345.0,301,2020-02-07
2020-02-10,340.0,340.0,335.0,335.0,335.0,361,2020-02-10
2020-02-11,340.0,345.0,330.0,335.0,335.0,164,2020-02-11
2020-02-12,325.0,385.0,305.0,325.0,325.0,1751,2020-02-12
2020-02-13,340.0,340.0,315.0,320.0,320.0,762,2020-02-13
2020-02-14,320.0,325.0,315.0,320.0,320.0,699,2020-02-14
2020-02-18,330.0,330.0,310.0,315.0,315.0,678,2020-02-18
2020-02-19,315.0,320.0,290.0,295.0,295.0,1255,2020-02-19
2020-02-20,295.0,295.0,270.0,285.0,285.0,865,2020-02-20
2020-02-21,300.0,320.0,240.0,250.0,250.0,4164,2020-02-21
2020-02-24,240.0,240.0,215.0,225.0,225.0,1105,2020-02-24
2020-02-25,240.0,240.0,200.0,200.0,200.0,2042,2020-02-25
