Date,Open,High,Low,Close,Adj Close,Volume,Date
2020-01-02,193.91000366210938,194.5500030517578,191.64999389648438,193.25,184.3800506591797,69200,2020-01-02
2020-01-03,192.00999450683594,194.49000549316406,190.97000122070312,192.55999755859375,183.7217254638672,76200,2020-01-03
2020-01-06,192.25999450683594,194.16000366210938,191.57000732421875,193.4600067138672,184.58041381835938,78200,2020-01-06
2020-01-07,190.10000610351562,192.55999755859375,187.4499969482422,188.60000610351562,179.9434814453125,202900,2020-01-07
2020-01-08,188.8000030517578,190.5800018310547,187.0500030517578,189.75999450683594,181.05023193359375,168100,2020-01-08
2020-01-09,190.0,192.61000061035156,189.72999572753906,191.80999755859375,183.0061492919922,144100,2020-01-09
2020-01-10,180.0,186.41000366210938,178.2100067138672,185.52999877929688,177.014404296875,393600,2020-01-10
2020-01-13,184.77000427246094,188.32000732421875,184.50999450683594,185.35000610351562,176.8426513671875,122500,2020-01-13
2020-01-14,185.10000610351562,190.27999877929688,185.10000610351562,188.5,179.84808349609375,240500,2020-01-14
2020-01-15,188.52999877929688,191.82000732421875,188.52999877929688,190.38999938964844,181.65133666992188,138300,2020-01-15
2020-01-16,190.07000732421875,192.64999389648438,190.07000732421875,190.89999389648438,182.7811279296875,90500,2020-01-16
2020-01-17,191.9600067138672,194.0800018310547,190.66000366210938,193.0399932861328,184.8301239013672,128600,2020-01-17
2020-01-21,192.72999572753906,192.72999572753906,188.52999877929688,189.13999938964844,181.09600830078125,75000,2020-01-21
2020-01-22,189.13999938964844,192.33999633789062,189.13999938964844,191.25999450683594,183.12582397460938,79900,2020-01-22
2020-01-23,190.97999572753906,192.86000061035156,190.22000122070312,191.64999389648438,183.49923706054688,92200,2020-01-23
2020-01-24,191.6999969482422,191.7899932861328,187.3699951171875,188.72000122070312,180.69387817382812,61700,2020-01-24
2020-01-27,186.9499969482422,188.38999938964844,186.9499969482422,187.69000244140625,179.70765686035156,124800,2020-01-27
2020-01-28,188.58999633789062,189.74000549316406,187.8800048828125,188.60000610351562,180.57896423339844,95500,2020-01-28
2020-01-29,188.32000732421875,189.24000549316406,187.0800018310547,188.3000030517578,180.29171752929688,51900,2020-01-29
2020-01-30,187.52000427246094,191.9499969482422,187.52000427246094,191.89999389648438,183.73863220214844,67800,2020-01-30
2020-01-31,192.13999938964844,193.0,186.82000732421875,186.82000732421875,178.87464904785156,95700,2020-01-31
2020-02-03,186.72999572753906,190.41000366210938,186.72999572753906,187.6699981689453,179.68850708007812,137200,2020-02-03
2020-02-04,188.74000549316406,192.2899932861328,188.74000549316406,190.2899932861328,182.19708251953125,72800,2020-02-04
2020-02-05,191.66000366210938,193.14999389648438,190.47000122070312,192.02999877929688,183.8631134033203,64800,2020-02-05
2020-02-06,193.24000549316406,193.39999389648438,190.83999633789062,192.0,183.8343505859375,61400,2020-02-06
2020-02-07,191.8699951171875,191.8699951171875,184.6300048828125,184.91000366210938,177.0458984375,93900,2020-02-07
2020-02-10,185.17999267578125,186.47000122070312,184.3300018310547,185.4600067138672,177.57252502441406,102400,2020-02-10
2020-02-11,186.27999877929688,186.27999877929688,184.3000030517578,184.77999877929688,176.92141723632812,197900,2020-02-11
2020-02-12,185.30999755859375,189.24000549316406,184.5500030517578,188.52999877929688,180.51194763183594,162500,2020-02-12
2020-02-13,187.64999389648438,190.49000549316406,187.64999389648438,190.32000732421875,182.22581481933594,52500,2020-02-13
2020-02-14,190.27999877929688,192.3800048828125,189.82000732421875,190.41000366210938,182.31198120117188,77800,2020-02-14
2020-02-18,190.02000427246094,190.80999755859375,188.9499969482422,189.0,180.96194458007812,68900,2020-02-18
2020-02-19,189.30999755859375,190.39999389648438,188.75999450683594,189.17999267578125,181.13430786132812,43100,2020-02-19
2020-02-20,188.75999450683594,189.80999755859375,187.5399932861328,188.74000549316406,180.71304321289062,57800,2020-02-20
